,wins,losses,goals,total_yel_card,total_red_card,total_scoring_att,ontarget_scoring_att,hit_woodwork,att_hd_goal,att_pen_goal,att_freekick_goal,att_ibox_goal,att_obox_goal,goal_fastbreak,total_offside,clean_sheet,goals_conceded,saves,outfielder_block,interception,total_tackle,last_man_tackle,total_clearance,head_clearance,own_goals,penalty_conceded,pen_goals_conceded,total_pass,total_through_ball,total_long_balls,backward_pass,total_cross,corner_taken,touches,big_chance_missed,clearance_off_line,dispossessed,penalty_save,total_high_claim,punches
Manchester City,32.0,2.0,106.0,59.0,2.0,665.0,265.0,23.0,12.0,6.0,1.0,93.0,13.0,4.0,67.0,18.0,27.0,62.0,53.0,346.0,563.0,3.0,588.0,308.0,2.0,2.0,0.0,28241.0,118.0,1775.0,4546.0,691.0,284.0,35130.0,63.0,4.0,406.0,2.0,21.0,15.0
Manchester United,25.0,7.0,68.0,64.0,1.0,512.0,178.0,16.0,12.0,1.0,2.0,56.0,13.0,4.0,88.0,19.0,28.0,118.0,112.0,481.0,564.0,0.0,853.0,436.0,2.0,1.0,1.0,20064.0,85.0,2308.0,2878.0,753.0,220.0,27525.0,42.0,4.0,399.0,0.0,20.0,6.0
Tottenham Hotspur,23.0,7.0,74.0,50.0,2.0,623.0,216.0,13.0,11.0,2.0,1.0,64.0,11.0,8.0,88.0,16.0,36.0,93.0,74.0,380.0,618.0,3.0,825.0,422.0,1.0,3.0,2.0,21660.0,83.0,2447.0,3176.0,825.0,246.0,29412.0,50.0,1.0,460.0,0.0,20.0,21.0
Chelsea,21.0,10.0,62.0,42.0,4.0,606.0,220.0,11.0,17.0,3.0,2.0,52.0,10.0,1.0,108.0,16.0,38.0,83.0,107.0,423.0,636.0,1.0,768.0,419.0,2.0,2.0,2.0,21264.0,70.0,2140.0,3019.0,755.0,230.0,28728.0,48.0,3.0,415.0,0.0,27.0,12.0
Liverpool,21.0,5.0,84.0,44.0,1.0,638.0,233.0,16.0,12.0,2.0,2.0,75.0,9.0,9.0,70.0,17.0,38.0,67.0,71.0,379.0,637.0,4.0,736.0,362.0,0.0,6.0,4.0,22962.0,106.0,2370.0,3313.0,764.0,230.0,30324.0,61.0,2.0,447.0,2.0,25.0,20.0
Arsenal,19.0,13.0,74.0,57.0,2.0,594.0,234.0,17.0,13.0,4.0,1.0,68.0,7.0,0.0,89.0,13.0,51.0,100.0,104.0,427.0,623.0,5.0,829.0,449.0,0.0,6.0,5.0,23524.0,117.0,1994.0,3089.0,572.0,225.0,30635.0,57.0,5.0,412.0,1.0,39.0,24.0
Burnley,14.0,12.0,36.0,65.0,0.0,378.0,128.0,9.0,10.0,0.0,1.0,32.0,4.0,0.0,100.0,12.0,39.0,122.0,191.0,401.0,533.0,2.0,1184.0,640.0,1.0,6.0,3.0,13572.0,18.0,3028.0,2245.0,707.0,167.0,20732.0,22.0,5.0,344.0,1.0,60.0,19.0
Everton,13.0,15.0,44.0,51.0,3.0,359.0,121.0,7.0,8.0,5.0,0.0,36.0,8.0,2.0,82.0,10.0,58.0,121.0,160.0,514.0,644.0,0.0,1229.0,617.0,1.0,5.0,3.0,14749.0,25.0,2726.0,2212.0,629.0,150.0,22298.0,36.0,6.0,381.0,1.0,28.0,23.0
Leicester City,12.0,15.0,56.0,52.0,5.0,423.0,149.0,8.0,9.0,5.0,1.0,49.0,7.0,7.0,92.0,9.0,60.0,107.0,130.0,413.0,630.0,1.0,920.0,487.0,2.0,4.0,2.0,15200.0,63.0,2667.0,2094.0,744.0,203.0,22770.0,35.0,4.0,358.0,2.0,29.0,23.0
Newcastle United,12.0,18.0,39.0,52.0,2.0,451.0,149.0,12.0,7.0,0.0,1.0,34.0,5.0,5.0,63.0,9.0,47.0,105.0,117.0,441.0,644.0,6.0,1125.0,594.0,3.0,6.0,4.0,14028.0,67.0,2610.0,2018.0,616.0,167.0,21506.0,33.0,7.0,410.0,2.0,40.0,18.0
AFC Bournemouth,11.0,16.0,45.0,55.0,1.0,465.0,158.0,10.0,4.0,3.0,1.0,38.0,7.0,0.0,52.0,6.0,61.0,111.0,160.0,367.0,508.0,3.0,1037.0,523.0,1.0,3.0,2.0,16131.0,37.0,2299.0,2257.0,707.0,218.0,23634.0,24.0,6.0,419.0,1.0,37.0,20.0
Crystal Palace,11.0,16.0,45.0,72.0,0.0,476.0,151.0,8.0,4.0,8.0,1.0,39.0,6.0,3.0,56.0,9.0,55.0,122.0,117.0,552.0,685.0,6.0,1022.0,517.0,2.0,2.0,2.0,14372.0,30.0,2416.0,2091.0,703.0,210.0,22434.0,55.0,6.0,482.0,0.0,39.0,11.0
Watford,11.0,19.0,44.0,63.0,4.0,440.0,132.0,8.0,9.0,3.0,0.0,38.0,6.0,1.0,74.0,9.0,64.0,95.0,98.0,467.0,668.0,2.0,953.0,492.0,1.0,6.0,6.0,15654.0,27.0,2410.0,2241.0,713.0,183.0,23127.0,36.0,5.0,410.0,0.0,25.0,28.0
West Ham United,10.0,16.0,48.0,73.0,2.0,372.0,133.0,14.0,6.0,2.0,1.0,39.0,10.0,4.0,97.0,10.0,68.0,122.0,154.0,482.0,621.0,2.0,1007.0,560.0,1.0,7.0,5.0,14369.0,51.0,2567.0,2177.0,732.0,161.0,21928.0,29.0,4.0,390.0,1.0,19.0,19.0
Brighton and Hove Albion,9.0,16.0,34.0,54.0,2.0,384.0,119.0,8.0,7.0,5.0,0.0,30.0,4.0,0.0,98.0,10.0,54.0,124.0,190.0,449.0,599.0,1.0,1085.0,625.0,5.0,3.0,1.0,14675.0,32.0,2774.0,2204.0,680.0,163.0,21668.0,30.0,10.0,296.0,2.0,38.0,14.0
Huddersfield Town,9.0,19.0,28.0,62.0,3.0,362.0,109.0,8.0,5.0,2.0,0.0,27.0,1.0,2.0,67.0,10.0,58.0,103.0,118.0,519.0,744.0,4.0,1070.0,490.0,1.0,6.0,4.0,14960.0,26.0,2563.0,2267.0,765.0,165.0,22619.0,21.0,6.0,416.0,2.0,31.0,24.0
Swansea City,8.0,21.0,28.0,51.0,1.0,338.0,103.0,8.0,3.0,1.0,0.0,24.0,4.0,0.0,38.0,9.0,56.0,137.0,124.0,390.0,610.0,2.0,943.0,499.0,2.0,7.0,3.0,15721.0,23.0,2579.0,2582.0,694.0,150.0,22775.0,26.0,1.0,439.0,3.0,44.0,15.0
Southampton,7.0,16.0,37.0,63.0,2.0,450.0,145.0,15.0,7.0,3.0,1.0,34.0,3.0,2.0,73.0,8.0,56.0,110.0,128.0,462.0,658.0,4.0,953.0,509.0,1.0,2.0,1.0,17174.0,56.0,2541.0,2589.0,800.0,227.0,24639.0,37.0,4.0,379.0,1.0,29.0,13.0
Stoke City,7.0,19.0,35.0,62.0,1.0,384.0,132.0,8.0,8.0,0.0,1.0,28.0,8.0,2.0,87.0,6.0,68.0,152.0,142.0,461.0,678.0,9.0,1164.0,609.0,2.0,5.0,5.0,12892.0,33.0,2528.0,1979.0,598.0,136.0,20368.0,33.0,3.0,402.0,0.0,27.0,14.0
West Bromwich Albion,6.0,19.0,31.0,73.0,1.0,378.0,114.0,7.0,10.0,1.0,1.0,29.0,2.0,2.0,79.0,10.0,56.0,102.0,148.0,469.0,604.0,0.0,993.0,544.0,2.0,1.0,1.0,13218.0,34.0,2699.0,2041.0,784.0,176.0,20552.0,28.0,3.0,446.0,0.0,40.0,5.0
