,wins,losses,goals,total_yel_card,total_red_card,total_scoring_att,ontarget_scoring_att,hit_woodwork,att_hd_goal,att_pen_goal,att_freekick_goal,att_ibox_goal,att_obox_goal,goal_fastbreak,total_offside,clean_sheet,goals_conceded,saves,outfielder_block,interception,total_tackle,last_man_tackle,total_clearance,head_clearance,own_goals,penalty_conceded,pen_goals_conceded,total_pass,total_through_ball,total_long_balls,backward_pass,total_cross,corner_taken,touches,big_chance_missed,clearance_off_line,dispossessed,penalty_save,total_high_claim,punches
Crystal Palace,14.0,17.0,51.0,58.0,2.0,493.0,148.0,16.0,5.0,10.0,1.0,43.0,8.0,2.0,78.0,12.0,53.0,113.0,141.0,446.0,730.0,2.0,940.0,467.0,1.0,5.0,4.0,15243.0,26.0,2259.0,2233.0,577.0,205.0,23211.0,38.0,2.0,472.0,1.0,28.0,26.0
Watford,14.0,16.0,52.0,77.0,4.0,437.0,152.0,9.0,8.0,1.0,0.0,44.0,8.0,3.0,89.0,7.0,59.0,127.0,120.0,426.0,655.0,8.0,956.0,447.0,3.0,5.0,4.0,15462.0,32.0,2437.0,2314.0,570.0,177.0,22878.0,54.0,3.0,419.0,1.0,32.0,11.0
AFC Bournemouth,13.0,19.0,56.0,60.0,1.0,446.0,163.0,12.0,11.0,7.0,0.0,50.0,6.0,9.0,57.0,10.0,70.0,110.0,152.0,371.0,526.0,5.0,1019.0,515.0,3.0,5.0,5.0,15943.0,57.0,1932.0,2249.0,613.0,191.0,23367.0,57.0,4.0,355.0,0.0,29.0,8.0
Newcastle United,12.0,17.0,42.0,57.0,2.0,446.0,142.0,14.0,12.0,1.0,1.0,40.0,2.0,1.0,59.0,11.0,48.0,95.0,134.0,506.0,714.0,4.0,1120.0,564.0,1.0,7.0,6.0,13490.0,50.0,2679.0,1999.0,711.0,181.0,21317.0,32.0,6.0,402.0,0.0,45.0,15.0
Burnley,11.0,20.0,45.0,75.0,1.0,360.0,116.0,12.0,13.0,2.0,0.0,43.0,2.0,1.0,106.0,8.0,68.0,140.0,222.0,365.0,583.0,5.0,1080.0,539.0,4.0,5.0,2.0,13011.0,35.0,2898.0,2046.0,693.0,140.0,20291.0,41.0,12.0,315.0,1.0,15.0,11.0
Cardiff City,10.0,24.0,34.0,66.0,1.0,417.0,126.0,14.0,4.0,3.0,0.0,29.0,5.0,0.0,77.0,10.0,69.0,141.0,147.0,528.0,655.0,4.0,978.0,448.0,0.0,8.0,4.0,10226.0,39.0,2513.0,1418.0,562.0,168.0,17503.0,32.0,5.0,332.0,3.0,15.0,11.0
Brighton and Hove Albion,9.0,20.0,35.0,60.0,4.0,371.0,108.0,6.0,10.0,5.0,0.0,34.0,1.0,4.0,90.0,7.0,60.0,111.0,170.0,463.0,681.0,4.0,921.0,499.0,0.0,10.0,10.0,14109.0,15.0,2623.0,2072.0,636.0,156.0,21447.0,23.0,7.0,335.0,0.0,21.0,9.0
Southampton,9.0,17.0,45.0,71.0,3.0,483.0,162.0,13.0,4.0,4.0,3.0,31.0,14.0,1.0,61.0,7.0,65.0,114.0,153.0,548.0,699.0,4.0,1068.0,502.0,3.0,3.0,2.0,14297.0,35.0,2394.0,2040.0,664.0,193.0,22109.0,50.0,4.0,378.0,1.0,20.0,20.0
Fulham,7.0,26.0,34.0,68.0,2.0,454.0,146.0,13.0,7.0,2.0,0.0,30.0,4.0,2.0,90.0,5.0,81.0,147.0,144.0,433.0,591.0,0.0,971.0,443.0,2.0,7.0,5.0,17699.0,33.0,2417.0,2750.0,611.0,161.0,25208.0,45.0,1.0,483.0,1.0,9.0,30.0
Huddersfield Town,3.0,28.0,22.0,55.0,4.0,400.0,118.0,11.0,8.0,1.0,1.0,17.0,5.0,1.0,63.0,5.0,76.0,114.0,130.0,530.0,710.0,2.0,658.0,246.0,1.0,8.0,7.0,15902.0,23.0,2603.0,2492.0,769.0,162.0,23238.0,24.0,5.0,399.0,1.0,30.0,21.0
