,wins,losses,goals,total_yel_card,total_red_card,total_scoring_att,ontarget_scoring_att,hit_woodwork,att_hd_goal,att_pen_goal,att_freekick_goal,att_ibox_goal,att_obox_goal,goal_fastbreak,total_offside,clean_sheet,goals_conceded,saves,outfielder_block,interception,total_tackle,last_man_tackle,total_clearance,head_clearance,own_goals,penalty_conceded,pen_goals_conceded,total_pass,total_through_ball,total_long_balls,backward_pass,total_cross,corner_taken,touches,big_chance_missed,clearance_off_line,dispossessed,penalty_save,total_high_claim,punches
Manchester City,32.0,4.0,95.0,44.0,1.0,683.0,260.0,21.0,12.0,3.0,2.0,80.0,15.0,5.0,98.0,20.0,23.0,58.0,63.0,362.0,518.0,0.0,543.0,295.0,0.0,4.0,4.0,26581.0,112.0,1814.0,4240.0,783.0,298.0,33593.0,71.0,2.0,393.0,0.0,20.0,6.0
Liverpool,30.0,1.0,89.0,38.0,2.0,575.0,226.0,19.0,19.0,7.0,1.0,84.0,5.0,6.0,77.0,21.0,22.0,76.0,78.0,314.0,610.0,2.0,639.0,317.0,0.0,1.0,0.0,23638.0,98.0,2250.0,3416.0,721.0,249.0,30897.0,54.0,1.0,424.0,0.0,17.0,17.0
Tottenham Hotspur,23.0,13.0,67.0,56.0,3.0,537.0,189.0,13.0,14.0,4.0,2.0,53.0,14.0,5.0,74.0,13.0,39.0,121.0,112.0,326.0,626.0,3.0,770.0,411.0,3.0,5.0,3.0,21295.0,87.0,2267.0,3191.0,643.0,194.0,28688.0,52.0,4.0,351.0,2.0,16.0,23.0
Arsenal,21.0,10.0,73.0,72.0,2.0,467.0,170.0,9.0,5.0,4.0,3.0,62.0,11.0,3.0,89.0,8.0,51.0,133.0,118.0,412.0,609.0,2.0,762.0,404.0,2.0,7.0,7.0,20805.0,65.0,2062.0,3102.0,605.0,209.0,28126.0,50.0,3.0,409.0,0.0,16.0,19.0
Chelsea,21.0,8.0,63.0,49.0,0.0,607.0,198.0,21.0,8.0,5.0,0.0,54.0,9.0,1.0,83.0,16.0,39.0,85.0,73.0,351.0,618.0,2.0,593.0,330.0,0.0,2.0,1.0,25070.0,146.0,1774.0,3874.0,692.0,215.0,32358.0,61.0,3.0,458.0,1.0,16.0,11.0
Manchester United,19.0,10.0,65.0,73.0,4.0,526.0,225.0,9.0,4.0,9.0,2.0,55.0,10.0,4.0,90.0,7.0,54.0,122.0,128.0,355.0,581.0,2.0,785.0,370.0,3.0,6.0,6.0,19202.0,63.0,2242.0,2634.0,638.0,200.0,26476.0,61.0,2.0,424.0,0.0,10.0,13.0
Wolverhampton Wanderers,16.0,13.0,47.0,72.0,1.0,477.0,152.0,14.0,10.0,4.0,2.0,44.0,3.0,5.0,73.0,9.0,46.0,100.0,148.0,501.0,720.0,2.0,824.0,464.0,4.0,4.0,3.0,16618.0,51.0,2552.0,2515.0,622.0,195.0,23969.0,48.0,3.0,401.0,0.0,16.0,8.0
Everton,15.0,14.0,54.0,55.0,4.0,498.0,169.0,16.0,13.0,2.0,2.0,45.0,10.0,3.0,69.0,14.0,46.0,94.0,85.0,456.0,700.0,4.0,825.0,430.0,2.0,5.0,2.0,16494.0,44.0,2310.0,2362.0,814.0,215.0,24496.0,50.0,1.0,466.0,3.0,14.0,14.0
Leicester City,15.0,16.0,51.0,57.0,5.0,515.0,184.0,10.0,9.0,5.0,3.0,43.0,8.0,8.0,72.0,10.0,48.0,90.0,96.0,436.0,676.0,4.0,945.0,500.0,0.0,5.0,5.0,17219.0,88.0,2335.0,2593.0,779.0,210.0,25054.0,46.0,1.0,357.0,0.0,13.0,16.0
West Ham United,15.0,16.0,52.0,59.0,1.0,441.0,157.0,13.0,10.0,5.0,0.0,47.0,5.0,3.0,72.0,7.0,55.0,148.0,141.0,457.0,723.0,5.0,855.0,397.0,2.0,5.0,4.0,16358.0,75.0,2315.0,2273.0,630.0,188.0,24045.0,33.0,2.0,390.0,1.0,29.0,17.0
