,wins,losses,goals,total_yel_card,total_red_card,total_scoring_att,ontarget_scoring_att,hit_woodwork,att_hd_goal,att_pen_goal,att_freekick_goal,att_ibox_goal,att_obox_goal,goal_fastbreak,total_offside,clean_sheet,goals_conceded,saves,outfielder_block,interception,total_tackle,last_man_tackle,total_clearance,head_clearance,own_goals,penalty_conceded,pen_goals_conceded,total_pass,total_through_ball,total_long_balls,backward_pass,total_cross,corner_taken,touches,big_chance_missed,clearance_off_line,dispossessed,penalty_save,total_high_claim,punches
Chelsea,26.0,3.0,73.0,73.0,4.0,564.0,210.0,15.0,10.0,4.0,1.0,66.0,7.0,1.0,75.0,17.0,32.0,90.0,102.0,376.0,759.0,2.0,1027.0,611.0,1.0,3.0,3.0,20268.0,73.0,2276.0,3259.0,682.0,226.0,27861.0,40.0,2.0,476.0,0.0,73.0,13.0
Manchester City,24.0,7.0,83.0,77.0,2.0,670.0,229.0,18.0,5.0,7.0,3.0,68.0,15.0,9.0,78.0,14.0,38.0,93.0,98.0,569.0,751.0,1.0,872.0,498.0,3.0,4.0,3.0,22107.0,115.0,1937.0,3140.0,795.0,277.0,29652.0,42.0,1.0,546.0,1.0,52.0,31.0
Arsenal,22.0,7.0,71.0,68.0,2.0,610.0,227.0,13.0,10.0,6.0,3.0,62.0,9.0,2.0,64.0,13.0,36.0,96.0,106.0,762.0,739.0,3.0,1006.0,565.0,1.0,3.0,3.0,20527.0,202.0,1749.0,2793.0,866.0,254.0,29045.0,51.0,2.0,476.0,0.0,76.0,13.0
Manchester United,20.0,8.0,62.0,64.0,5.0,512.0,180.0,11.0,12.0,3.0,2.0,55.0,7.0,2.0,87.0,11.0,37.0,100.0,96.0,679.0,739.0,4.0,1118.0,638.0,1.0,4.0,3.0,21311.0,89.0,2969.0,3457.0,908.0,214.0,29044.0,43.0,5.0,393.0,1.0,33.0,7.0
Tottenham Hotspur,19.0,12.0,58.0,79.0,4.0,527.0,171.0,11.0,8.0,3.0,4.0,47.0,11.0,2.0,77.0,9.0,53.0,119.0,117.0,674.0,815.0,6.0,1047.0,636.0,2.0,7.0,5.0,19322.0,69.0,2357.0,2604.0,742.0,224.0,27495.0,39.0,1.0,552.0,1.0,51.0,28.0
Liverpool,18.0,12.0,52.0,66.0,3.0,590.0,192.0,12.0,5.0,5.0,1.0,44.0,8.0,2.0,75.0,14.0,48.0,93.0,105.0,442.0,798.0,9.0,1175.0,628.0,2.0,3.0,1.0,19374.0,103.0,2151.0,2787.0,638.0,198.0,27349.0,34.0,3.0,468.0,2.0,38.0,41.0
Southampton,18.0,14.0,54.0,57.0,3.0,509.0,169.0,17.0,3.0,2.0,0.0,50.0,4.0,0.0,93.0,15.0,33.0,80.0,94.0,619.0,813.0,5.0,875.0,400.0,0.0,2.0,2.0,18184.0,38.0,2729.0,2850.0,952.0,208.0,25814.0,44.0,4.0,422.0,0.0,50.0,15.0
Swansea City,16.0,14.0,46.0,48.0,5.0,426.0,147.0,12.0,5.0,2.0,2.0,38.0,8.0,1.0,80.0,13.0,49.0,141.0,146.0,693.0,634.0,0.0,1203.0,646.0,1.0,2.0,2.0,17877.0,56.0,2291.0,2918.0,634.0,151.0,25645.0,35.0,3.0,363.0,0.0,91.0,31.0
Stoke City,15.0,14.0,48.0,82.0,1.0,500.0,136.0,9.0,14.0,3.0,0.0,41.0,7.0,1.0,75.0,9.0,45.0,96.0,134.0,496.0,729.0,8.0,1159.0,694.0,0.0,5.0,5.0,15386.0,12.0,2429.0,2317.0,887.0,195.0,23427.0,32.0,3.0,428.0,0.0,68.0,12.0
Crystal Palace,13.0,16.0,47.0,63.0,4.0,441.0,139.0,14.0,10.0,5.0,4.0,41.0,6.0,0.0,77.0,7.0,51.0,94.0,154.0,600.0,791.0,2.0,1270.0,779.0,0.0,6.0,4.0,12071.0,22.0,2609.0,1732.0,834.0,209.0,20386.0,25.0,7.0,325.0,2.0,77.0,9.0
Everton,12.0,15.0,48.0,66.0,2.0,483.0,166.0,11.0,10.0,4.0,1.0,40.0,8.0,5.0,83.0,10.0,50.0,80.0,167.0,444.0,657.0,8.0,1280.0,737.0,2.0,4.0,4.0,18809.0,64.0,2563.0,2908.0,690.0,194.0,26729.0,32.0,3.0,461.0,0.0,71.0,24.0
West Ham United,12.0,15.0,44.0,64.0,2.0,488.0,152.0,13.0,15.0,1.0,1.0,35.0,9.0,1.0,91.0,9.0,47.0,133.0,165.0,505.0,647.0,7.0,1474.0,835.0,2.0,5.0,2.0,13568.0,42.0,2548.0,2180.0,968.0,241.0,21792.0,37.0,3.0,404.0,3.0,52.0,15.0
Leicester City,11.0,19.0,46.0,49.0,4.0,456.0,137.0,12.0,7.0,3.0,0.0,38.0,8.0,3.0,60.0,10.0,55.0,124.0,161.0,750.0,791.0,5.0,1177.0,701.0,5.0,4.0,3.0,13343.0,22.0,2706.0,1985.0,912.0,211.0,21547.0,44.0,2.0,355.0,0.0,38.0,26.0
West Bromwich Albion,11.0,16.0,38.0,64.0,3.0,412.0,132.0,10.0,16.0,4.0,0.0,35.0,3.0,1.0,65.0,16.0,51.0,131.0,155.0,585.0,696.0,2.0,1084.0,597.0,0.0,7.0,5.0,14445.0,56.0,2732.0,2147.0,712.0,171.0,21820.0,25.0,4.0,507.0,1.0,76.0,13.0
Aston Villa,10.0,20.0,31.0,70.0,7.0,418.0,125.0,5.0,7.0,1.0,1.0,28.0,3.0,2.0,70.0,10.0,57.0,112.0,135.0,487.0,623.0,6.0,1130.0,661.0,1.0,4.0,4.0,16527.0,14.0,2740.0,2575.0,766.0,171.0,23785.0,26.0,2.0,413.0,0.0,77.0,18.0
