,wins,losses,goals,total_yel_card,total_red_card,total_scoring_att,ontarget_scoring_att,hit_woodwork,att_hd_goal,att_pen_goal,att_freekick_goal,att_ibox_goal,att_obox_goal,goal_fastbreak,total_offside,clean_sheet,goals_conceded,saves,outfielder_block,interception,total_tackle,last_man_tackle,total_clearance,head_clearance,own_goals,penalty_conceded,pen_goals_conceded,total_pass,total_through_ball,total_long_balls,backward_pass,total_cross,corner_taken,touches,big_chance_missed,clearance_off_line,dispossessed,penalty_save,total_high_claim,punches
Manchester United,23.0,4.0,78.0,56.0,3.0,618.0,212.0,15.0,18.0,3.0,1.0,71.0,7.0,5.0,102.0,15.0,37.0,0.0,107.0,646.0,693.0,17.0,1053.0,634.0,1.0,6.0,5.0,18870.0,212.0,2279.0,2411.0,1005.0,243.0,26671.0,50.0,2.0,471.0,0.0,45.0,16.0
Chelsea,21.0,9.0,69.0,59.0,1.0,745.0,244.0,21.0,12.0,6.0,2.0,61.0,8.0,4.0,113.0,15.0,33.0,0.0,127.0,616.0,769.0,19.0,762.0,470.0,1.0,3.0,2.0,19236.0,252.0,2044.0,2465.0,995.0,257.0,27426.0,70.0,7.0,573.0,1.0,84.0,22.0
Manchester City,21.0,9.0,60.0,71.0,5.0,546.0,177.0,16.0,4.0,8.0,2.0,51.0,9.0,2.0,103.0,18.0,33.0,2.0,130.0,629.0,826.0,4.0,1206.0,680.0,0.0,4.0,3.0,17768.0,170.0,1721.0,2469.0,762.0,222.0,25892.0,51.0,2.0,520.0,1.0,66.0,27.0
Arsenal,19.0,8.0,72.0,65.0,6.0,654.0,238.0,23.0,9.0,4.0,1.0,67.0,5.0,3.0,93.0,13.0,43.0,0.0,94.0,709.0,772.0,3.0,1077.0,580.0,1.0,9.0,6.0,20150.0,373.0,1462.0,2278.0,928.0,252.0,28629.0,88.0,4.0,601.0,2.0,56.0,25.0
Liverpool,17.0,14.0,59.0,63.0,2.0,582.0,205.0,12.0,8.0,6.0,1.0,54.0,5.0,3.0,87.0,14.0,44.0,0.0,128.0,592.0,908.0,2.0,1073.0,563.0,3.0,8.0,7.0,16734.0,148.0,2042.0,2500.0,824.0,212.0,24959.0,43.0,6.0,493.0,0.0,74.0,26.0
Tottenham Hotspur,16.0,8.0,55.0,51.0,2.0,657.0,191.0,15.0,10.0,5.0,0.0,40.0,15.0,3.0,59.0,8.0,46.0,0.0,139.0,661.0,754.0,16.0,1363.0,800.0,1.0,6.0,4.0,16791.0,111.0,2407.0,2142.0,954.0,256.0,25438.0,51.0,6.0,560.0,2.0,68.0,50.0
Everton,13.0,10.0,51.0,55.0,5.0,580.0,181.0,8.0,14.0,3.0,2.0,43.0,8.0,4.0,78.0,9.0,45.0,0.0,149.0,470.0,768.0,12.0,1265.0,652.0,2.0,2.0,2.0,14371.0,72.0,2232.0,2089.0,1019.0,245.0,22628.0,47.0,2.0,525.0,0.0,51.0,30.0
Stoke City,13.0,18.0,46.0,68.0,2.0,482.0,143.0,20.0,11.0,3.0,2.0,42.0,4.0,4.0,74.0,9.0,48.0,0.0,156.0,532.0,716.0,13.0,1316.0,791.0,2.0,5.0,3.0,10349.0,58.0,2062.0,1382.0,766.0,191.0,18195.0,39.0,5.0,449.0,2.0,64.0,20.0
Aston Villa,12.0,14.0,48.0,71.0,2.0,506.0,165.0,19.0,13.0,4.0,2.0,42.0,6.0,4.0,92.0,7.0,59.0,0.0,183.0,667.0,844.0,16.0,1116.0,621.0,1.0,4.0,4.0,14611.0,123.0,1970.0,1901.0,973.0,230.0,22681.0,57.0,7.0,350.0,0.0,30.0,25.0
Bolton Wanderers,12.0,16.0,52.0,67.0,5.0,570.0,173.0,9.0,10.0,4.0,1.0,44.0,8.0,3.0,57.0,5.0,56.0,0.0,150.0,627.0,939.0,17.0,1466.0,854.0,0.0,6.0,3.0,12704.0,104.0,2360.0,1579.0,850.0,197.0,21351.0,42.0,10.0,418.0,2.0,46.0,22.0
Sunderland,12.0,15.0,45.0,57.0,5.0,532.0,154.0,10.0,7.0,4.0,1.0,40.0,5.0,2.0,98.0,13.0,56.0,0.0,134.0,694.0,820.0,17.0,1291.0,686.0,1.0,6.0,5.0,14166.0,129.0,2220.0,2072.0,863.0,181.0,22628.0,35.0,16.0,441.0,0.0,62.0,40.0
West Bromwich Albion,12.0,15.0,56.0,52.0,7.0,597.0,184.0,12.0,10.0,4.0,1.0,50.0,6.0,3.0,102.0,2.0,71.0,0.0,126.0,662.0,725.0,10.0,1088.0,609.0,5.0,6.0,6.0,14252.0,101.0,2286.0,2138.0,807.0,187.0,22224.0,43.0,8.0,524.0,0.0,38.0,23.0
Blackburn Rovers,11.0,17.0,46.0,65.0,5.0,453.0,135.0,10.0,9.0,1.0,2.0,39.0,7.0,1.0,87.0,8.0,59.0,0.0,183.0,734.0,748.0,11.0,1521.0,799.0,1.0,8.0,6.0,11178.0,54.0,2057.0,1558.0,821.0,173.0,19421.0,44.0,8.0,357.0,0.0,50.0,26.0
Fulham,11.0,11.0,49.0,52.0,1.0,547.0,172.0,10.0,15.0,2.0,2.0,42.0,7.0,2.0,100.0,14.0,43.0,0.0,120.0,668.0,799.0,5.0,1513.0,878.0,5.0,1.0,0.0,16345.0,119.0,2059.0,2563.0,865.0,191.0,24796.0,38.0,12.0,559.0,1.0,82.0,37.0
Newcastle United,11.0,14.0,56.0,78.0,2.0,507.0,168.0,10.0,15.0,5.0,0.0,50.0,6.0,1.0,82.0,9.0,57.0,3.0,134.0,608.0,666.0,11.0,1025.0,598.0,2.0,6.0,5.0,14204.0,95.0,2114.0,2041.0,1022.0,202.0,22113.0,62.0,7.0,527.0,0.0,56.0,26.0
Wolverhampton Wanderers,11.0,20.0,46.0,62.0,2.0,459.0,139.0,14.0,10.0,3.0,1.0,41.0,5.0,1.0,93.0,5.0,66.0,0.0,151.0,520.0,677.0,11.0,1205.0,663.0,2.0,4.0,4.0,14823.0,82.0,2350.0,2256.0,1104.0,241.0,22772.0,29.0,7.0,426.0,0.0,84.0,19.0
Blackpool,10.0,19.0,55.0,47.0,2.0,531.0,161.0,11.0,8.0,7.0,3.0,44.0,11.0,3.0,97.0,6.0,78.0,3.0,206.0,451.0,780.0,7.0,1616.0,860.0,5.0,3.0,2.0,15113.0,75.0,2582.0,2543.0,836.0,183.0,23616.0,46.0,16.0,499.0,0.0,49.0,29.0
Wigan Athletic,9.0,14.0,40.0,67.0,4.0,511.0,170.0,9.0,3.0,2.0,5.0,32.0,8.0,5.0,71.0,7.0,61.0,0.0,116.0,763.0,914.0,20.0,1196.0,628.0,0.0,6.0,4.0,15180.0,111.0,2217.0,2183.0,620.0,169.0,23517.0,39.0,5.0,540.0,1.0,50.0,25.0
Birmingham City,8.0,15.0,37.0,57.0,3.0,401.0,121.0,11.0,10.0,2.0,0.0,34.0,3.0,1.0,91.0,9.0,58.0,0.0,179.0,573.0,668.0,7.0,1261.0,771.0,4.0,6.0,5.0,14036.0,82.0,2657.0,2221.0,784.0,150.0,21652.0,30.0,9.0,375.0,1.0,71.0,21.0
West Ham United,7.0,19.0,43.0,59.0,1.0,572.0,174.0,18.0,9.0,5.0,0.0,38.0,5.0,1.0,120.0,5.0,70.0,0.0,184.0,583.0,783.0,13.0,1353.0,723.0,2.0,6.0,5.0,13367.0,126.0,2126.0,1903.0,814.0,181.0,21823.0,44.0,9.0,574.0,1.0,39.0,41.0
