,wins,losses,goals,total_yel_card,total_red_card,total_scoring_att,ontarget_scoring_att,hit_woodwork,att_hd_goal,att_pen_goal,att_freekick_goal,att_ibox_goal,att_obox_goal,goal_fastbreak,total_offside,clean_sheet,goals_conceded,saves,outfielder_block,interception,total_tackle,last_man_tackle,total_clearance,head_clearance,own_goals,penalty_conceded,pen_goals_conceded,total_pass,total_through_ball,total_long_balls,backward_pass,total_cross,corner_taken,touches,big_chance_missed,clearance_off_line,dispossessed,penalty_save,total_high_claim,punches
Manchester City,27.0,6.0,102.0,72.0,1.0,673.0,238.0,19.0,10.0,6.0,5.0,86.0,16.0,5.0,59.0,16.0,37.0,88.0,61.0,496.0,756.0,8.0,938.0,531.0,2.0,1.0,1.0,20761.0,120.0,1791.0,3195.0,892.0,283.0,28341.0,59.0,0.0,411.0,0.0,64.0,31.0
Liverpool,26.0,6.0,101.0,54.0,1.0,651.0,258.0,27.0,14.0,10.0,6.0,82.0,19.0,9.0,78.0,10.0,50.0,107.0,127.0,465.0,848.0,3.0,1339.0,750.0,6.0,4.0,3.0,19599.0,191.0,1895.0,2959.0,643.0,224.0,28172.0,64.0,5.0,427.0,1.0,36.0,29.0
Chelsea,25.0,6.0,71.0,57.0,3.0,692.0,229.0,19.0,6.0,5.0,2.0,54.0,17.0,5.0,106.0,18.0,27.0,96.0,95.0,380.0,733.0,4.0,1141.0,741.0,2.0,1.0,1.0,18266.0,53.0,2052.0,2800.0,809.0,248.0,26541.0,44.0,2.0,392.0,0.0,42.0,16.0
Arsenal,24.0,7.0,68.0,53.0,4.0,523.0,213.0,15.0,12.0,3.0,0.0,63.0,5.0,4.0,74.0,17.0,41.0,116.0,101.0,541.0,714.0,14.0,1207.0,703.0,2.0,6.0,5.0,21561.0,144.0,1799.0,3211.0,753.0,210.0,29825.0,50.0,3.0,367.0,1.0,70.0,27.0
Everton,21.0,8.0,61.0,55.0,1.0,561.0,196.0,14.0,6.0,3.0,5.0,49.0,12.0,3.0,80.0,15.0,39.0,117.0,130.0,463.0,744.0,9.0,1103.0,672.0,4.0,6.0,3.0,18301.0,49.0,2239.0,2871.0,848.0,251.0,26857.0,28.0,2.0,471.0,2.0,59.0,14.0
Tottenham Hotspur,21.0,11.0,55.0,66.0,4.0,588.0,192.0,12.0,6.0,5.0,2.0,45.0,10.0,4.0,64.0,14.0,51.0,106.0,81.0,560.0,750.0,4.0,974.0,585.0,3.0,5.0,3.0,17933.0,41.0,2121.0,2596.0,849.0,230.0,26241.0,64.0,3.0,598.0,1.0,41.0,38.0
Manchester United,19.0,12.0,64.0,66.0,3.0,526.0,183.0,16.0,10.0,5.0,5.0,53.0,11.0,1.0,97.0,13.0,43.0,103.0,108.0,595.0,676.0,4.0,1382.0,856.0,1.0,4.0,3.0,18894.0,61.0,2077.0,2898.0,1000.0,216.0,27367.0,38.0,1.0,491.0,0.0,32.0,14.0
Newcastle United,15.0,19.0,43.0,53.0,6.0,579.0,182.0,14.0,8.0,2.0,1.0,35.0,8.0,3.0,78.0,10.0,59.0,108.0,101.0,601.0,736.0,15.0,1110.0,596.0,1.0,5.0,5.0,16087.0,131.0,1810.0,2424.0,787.0,190.0,24484.0,45.0,4.0,453.0,0.0,51.0,21.0
Southampton,15.0,12.0,54.0,60.0,0.0,534.0,179.0,16.0,10.0,3.0,2.0,46.0,8.0,2.0,97.0,15.0,46.0,85.0,66.0,528.0,805.0,6.0,1201.0,638.0,1.0,3.0,3.0,19577.0,80.0,2401.0,3121.0,877.0,210.0,28030.0,37.0,1.0,522.0,0.0,50.0,18.0
Crystal Palace,13.0,19.0,33.0,58.0,2.0,414.0,143.0,9.0,6.0,5.0,1.0,28.0,5.0,2.0,71.0,12.0,48.0,119.0,139.0,695.0,845.0,7.0,1409.0,852.0,2.0,6.0,6.0,11797.0,19.0,1908.0,1752.0,706.0,172.0,20309.0,31.0,4.0,361.0,0.0,81.0,8.0
