,wins,losses,goals,total_yel_card,total_red_card,total_scoring_att,ontarget_scoring_att,hit_woodwork,att_hd_goal,att_pen_goal,att_freekick_goal,att_ibox_goal,att_obox_goal,goal_fastbreak,total_offside,clean_sheet,goals_conceded,saves,outfielder_block,interception,total_tackle,last_man_tackle,total_clearance,head_clearance,own_goals,penalty_conceded,pen_goals_conceded,total_pass,total_through_ball,total_long_balls,backward_pass,total_cross,corner_taken,touches,big_chance_missed,clearance_off_line,dispossessed,penalty_save,total_high_claim,punches
Stoke City,13.0,14.0,45.0,72.0,5.0,428.0,137.0,14.0,2.0,4.0,2.0,31.0,14.0,3.0,81.0,9.0,52.0,127.0,153.0,474.0,791.0,5.0,1090.0,604.0,1.0,7.0,5.0,15324.0,40.0,1970.0,2453.0,731.0,164.0,23324.0,36.0,2.0,469.0,2.0,84.0,17.0
Swansea City,11.0,18.0,54.0,55.0,3.0,496.0,161.0,7.0,9.0,4.0,0.0,45.0,9.0,0.0,76.0,8.0,54.0,96.0,117.0,644.0,674.0,7.0,1083.0,606.0,1.0,4.0,4.0,21113.0,49.0,2126.0,3312.0,902.0,226.0,29158.0,20.0,6.0,400.0,0.0,45.0,20.0
West Ham United,11.0,20.0,40.0,62.0,5.0,422.0,122.0,11.0,5.0,2.0,1.0,36.0,4.0,2.0,76.0,14.0,51.0,151.0,199.0,404.0,651.0,12.0,1401.0,820.0,1.0,6.0,6.0,12364.0,34.0,2061.0,2016.0,951.0,185.0,20511.0,33.0,8.0,371.0,0.0,54.0,9.0
Aston Villa,10.0,20.0,39.0,78.0,0.0,431.0,135.0,11.0,10.0,2.0,3.0,33.0,6.0,4.0,84.0,9.0,61.0,110.0,126.0,460.0,747.0,4.0,1068.0,487.0,4.0,6.0,5.0,13856.0,30.0,2298.0,2231.0,749.0,163.0,21453.0,27.0,3.0,359.0,1.0,102.0,15.0
Hull City,10.0,21.0,38.0,53.0,4.0,427.0,132.0,16.0,10.0,2.0,1.0,30.0,8.0,2.0,86.0,10.0,53.0,106.0,146.0,616.0,723.0,4.0,1048.0,588.0,2.0,4.0,3.0,15267.0,22.0,2181.0,2431.0,853.0,160.0,22985.0,31.0,6.0,413.0,1.0,24.0,24.0
Sunderland,10.0,20.0,41.0,69.0,7.0,491.0,138.0,10.0,7.0,6.0,1.0,37.0,4.0,4.0,70.0,11.0,60.0,160.0,144.0,414.0,702.0,2.0,903.0,510.0,6.0,2.0,2.0,14457.0,41.0,2092.0,2254.0,749.0,188.0,21922.0,29.0,3.0,411.0,0.0,71.0,20.0
Fulham,9.0,24.0,40.0,58.0,1.0,431.0,149.0,11.0,7.0,2.0,1.0,31.0,9.0,1.0,86.0,5.0,85.0,154.0,182.0,499.0,702.0,4.0,1351.0,779.0,5.0,4.0,4.0,14674.0,32.0,2180.0,2329.0,708.0,194.0,22771.0,45.0,12.0,483.0,0.0,71.0,21.0
Norwich City,8.0,21.0,28.0,62.0,2.0,467.0,148.0,15.0,7.0,1.0,1.0,19.0,9.0,1.0,48.0,12.0,62.0,125.0,154.0,529.0,675.0,4.0,1071.0,472.0,3.0,4.0,4.0,14762.0,58.0,2120.0,2264.0,818.0,197.0,22570.0,37.0,10.0,489.0,0.0,72.0,11.0
Cardiff City,7.0,22.0,32.0,49.0,1.0,418.0,124.0,10.0,9.0,1.0,0.0,28.0,4.0,0.0,81.0,7.0,74.0,157.0,178.0,491.0,619.0,4.0,1268.0,702.0,0.0,2.0,2.0,14007.0,35.0,2047.0,2195.0,792.0,196.0,22018.0,30.0,5.0,490.0,0.0,59.0,13.0
West Bromwich Albion,7.0,16.0,43.0,67.0,0.0,487.0,146.0,6.0,6.0,2.0,0.0,35.0,8.0,1.0,91.0,7.0,59.0,114.0,125.0,595.0,701.0,1.0,1176.0,712.0,2.0,7.0,5.0,14704.0,41.0,1942.0,2036.0,834.0,187.0,22866.0,35.0,0.0,514.0,2.0,65.0,14.0
