,wins,losses,goals,total_yel_card,total_red_card,total_scoring_att,ontarget_scoring_att,hit_woodwork,att_hd_goal,att_pen_goal,att_freekick_goal,att_ibox_goal,att_obox_goal,goal_fastbreak,total_offside,clean_sheet,goals_conceded,saves,outfielder_block,interception,total_tackle,last_man_tackle,total_clearance,head_clearance,own_goals,penalty_conceded,pen_goals_conceded,total_pass,total_through_ball,total_long_balls,backward_pass,total_cross,corner_taken,touches,big_chance_missed,clearance_off_line,dispossessed,penalty_save,total_high_claim,punches
Manchester United,28.0,5.0,86.0,57.0,1.0,561.0,213.0,24.0,14.0,4.0,1.0,77.0,9.0,2.0,96.0,13.0,43.0,1.0,143.0,514.0,731.0,4.0,1319.0,848.0,4.0,0.0,0.0,19696.0,103.0,1973.0,2727.0,962.0,218.0,27264.0,65.0,5.0,506.0,0.0,38.0,28.0
Manchester City,23.0,6.0,66.0,62.0,3.0,660.0,231.0,16.0,6.0,4.0,2.0,57.0,9.0,6.0,75.0,18.0,34.0,1.0,111.0,492.0,683.0,3.0,1068.0,551.0,2.0,2.0,1.0,20061.0,161.0,1613.0,2720.0,860.0,269.0,27525.0,86.0,6.0,515.0,1.0,28.0,23.0
Chelsea,22.0,7.0,75.0,51.0,3.0,626.0,212.0,7.0,16.0,9.0,3.0,64.0,11.0,3.0,80.0,14.0,39.0,7.0,104.0,504.0,710.0,4.0,981.0,603.0,2.0,1.0,0.0,18432.0,52.0,2011.0,2790.0,863.0,240.0,25971.0,45.0,1.0,434.0,0.0,53.0,29.0
Arsenal,21.0,7.0,72.0,42.0,5.0,597.0,205.0,16.0,11.0,5.0,2.0,65.0,7.0,7.0,80.0,14.0,37.0,0.0,94.0,636.0,748.0,19.0,873.0,492.0,0.0,6.0,4.0,21110.0,226.0,1755.0,3079.0,951.0,260.0,28862.0,50.0,5.0,411.0,1.0,31.0,20.0
Tottenham Hotspur,21.0,8.0,66.0,55.0,2.0,681.0,241.0,17.0,6.0,0.0,2.0,50.0,16.0,6.0,77.0,9.0,46.0,0.0,90.0,721.0,745.0,8.0,1595.0,870.0,1.0,3.0,3.0,16647.0,101.0,2028.0,2542.0,884.0,262.0,25155.0,41.0,6.0,466.0,0.0,44.0,30.0
Everton,16.0,7.0,55.0,59.0,3.0,633.0,207.0,21.0,13.0,2.0,1.0,44.0,11.0,4.0,100.0,11.0,40.0,4.0,126.0,592.0,720.0,7.0,1172.0,677.0,2.0,2.0,2.0,15829.0,54.0,2055.0,2271.0,989.0,257.0,23854.0,67.0,8.0,449.0,0.0,61.0,28.0
Liverpool,16.0,9.0,71.0,54.0,2.0,739.0,232.0,19.0,9.0,5.0,3.0,59.0,12.0,1.0,110.0,16.0,43.0,2.0,107.0,526.0,795.0,2.0,914.0,448.0,1.0,5.0,4.0,19812.0,101.0,2046.0,3004.0,794.0,284.0,27737.0,61.0,3.0,529.0,1.0,38.0,23.0
West Bromwich Albion,14.0,17.0,53.0,63.0,4.0,506.0,170.0,15.0,13.0,5.0,0.0,46.0,7.0,5.0,100.0,8.0,57.0,2.0,158.0,377.0,698.0,1.0,1079.0,670.0,3.0,6.0,5.0,14367.0,30.0,1896.0,2123.0,778.0,202.0,21491.0,39.0,3.0,455.0,1.0,77.0,15.0
West Ham United,12.0,16.0,45.0,74.0,1.0,492.0,158.0,9.0,9.0,4.0,2.0,38.0,7.0,2.0,82.0,11.0,53.0,11.0,166.0,459.0,728.0,4.0,1520.0,788.0,1.0,2.0,2.0,12593.0,26.0,1921.0,2111.0,1014.0,211.0,20677.0,38.0,4.0,493.0,0.0,36.0,6.0
Fulham,11.0,17.0,50.0,48.0,3.0,460.0,160.0,19.0,10.0,6.0,1.0,43.0,7.0,2.0,74.0,8.0,60.0,0.0,161.0,745.0,680.0,3.0,1274.0,669.0,0.0,6.0,3.0,16940.0,40.0,2131.0,2887.0,733.0,176.0,24744.0,34.0,7.0,446.0,3.0,67.0,24.0
