,wins,losses,goals,total_yel_card,total_red_card,total_scoring_att,ontarget_scoring_att,hit_woodwork,att_hd_goal,att_pen_goal,att_freekick_goal,att_ibox_goal,att_obox_goal,goal_fastbreak,total_offside,clean_sheet,goals_conceded,saves,outfielder_block,interception,total_tackle,last_man_tackle,total_clearance,head_clearance,own_goals,penalty_conceded,pen_goals_conceded,total_pass,total_through_ball,total_long_balls,backward_pass,total_cross,corner_taken,touches,big_chance_missed,clearance_off_line,dispossessed,penalty_save,total_high_claim,punches
Newcastle United,11.0,19.0,45.0,71.0,4.0,533.0,174.0,12.0,6.0,4.0,3.0,34.0,11.0,2.0,84.0,6.0,68.0,3.0,115.0,478.0,732.0,9.0,1584.0,741.0,1.0,4.0,4.0,14600.0,84.0,2286.0,2364.0,941.0,203.0,23008.0,44.0,5.0,506.0,0.0,74.0,38.0
Swansea City,11.0,14.0,47.0,58.0,2.0,504.0,167.0,11.0,7.0,0.0,1.0,41.0,6.0,2.0,87.0,10.0,51.0,0.0,157.0,697.0,686.0,2.0,1353.0,695.0,1.0,5.0,4.0,19943.0,79.0,2024.0,3599.0,790.0,193.0,27641.0,42.0,10.0,361.0,1.0,51.0,25.0
Aston Villa,10.0,17.0,47.0,72.0,3.0,438.0,141.0,10.0,7.0,3.0,1.0,35.0,12.0,6.0,97.0,5.0,69.0,5.0,177.0,769.0,741.0,9.0,1520.0,733.0,5.0,8.0,7.0,14252.0,58.0,1905.0,2236.0,676.0,177.0,22319.0,33.0,9.0,505.0,1.0,101.0,25.0
Norwich City,10.0,14.0,41.0,60.0,1.0,413.0,134.0,7.0,13.0,1.0,4.0,36.0,5.0,0.0,97.0,10.0,58.0,4.0,141.0,540.0,676.0,4.0,1146.0,437.0,3.0,7.0,4.0,13430.0,47.0,2020.0,2178.0,837.0,172.0,20686.0,40.0,5.0,387.0,2.0,46.0,19.0
Southampton,9.0,15.0,49.0,43.0,2.0,516.0,167.0,16.0,9.0,3.0,2.0,45.0,4.0,2.0,86.0,7.0,60.0,0.0,109.0,779.0,819.0,21.0,1275.0,566.0,5.0,5.0,2.0,16810.0,247.0,1826.0,2578.0,917.0,209.0,25365.0,41.0,3.0,477.0,3.0,56.0,16.0
Stoke City,9.0,14.0,34.0,78.0,4.0,390.0,114.0,12.0,9.0,3.0,0.0,33.0,1.0,1.0,72.0,12.0,45.0,9.0,159.0,499.0,728.0,5.0,1161.0,567.0,4.0,6.0,6.0,12297.0,32.0,1999.0,1838.0,855.0,165.0,19836.0,35.0,3.0,397.0,0.0,91.0,6.0
Sunderland,9.0,17.0,41.0,62.0,3.0,417.0,139.0,7.0,2.0,4.0,1.0,33.0,8.0,3.0,68.0,11.0,54.0,0.0,178.0,582.0,784.0,9.0,1155.0,607.0,4.0,4.0,4.0,13109.0,52.0,1952.0,1984.0,868.0,179.0,20782.0,30.0,8.0,423.0,0.0,52.0,39.0
Wigan Athletic,9.0,20.0,47.0,66.0,2.0,500.0,170.0,7.0,9.0,1.0,2.0,42.0,5.0,3.0,83.0,5.0,73.0,0.0,135.0,692.0,716.0,3.0,901.0,423.0,3.0,7.0,6.0,17927.0,54.0,2048.0,2773.0,813.0,198.0,25173.0,36.0,5.0,418.0,1.0,41.0,28.0
Reading,6.0,22.0,43.0,45.0,1.0,394.0,128.0,9.0,12.0,4.0,1.0,39.0,4.0,2.0,80.0,5.0,73.0,0.0,166.0,560.0,602.0,10.0,1300.0,620.0,0.0,4.0,4.0,11806.0,38.0,1855.0,1760.0,1009.0,189.0,19613.0,25.0,12.0,442.0,0.0,47.0,37.0
Queens Park Rangers,4.0,21.0,30.0,59.0,3.0,500.0,146.0,9.0,4.0,1.0,0.0,18.0,12.0,3.0,108.0,7.0,60.0,0.0,174.0,660.0,818.0,4.0,1363.0,703.0,5.0,3.0,3.0,13632.0,50.0,1800.0,1925.0,683.0,170.0,21941.0,32.0,8.0,453.0,0.0,56.0,37.0
