,wins,losses,goals,total_yel_card,total_red_card,total_scoring_att,ontarget_scoring_att,hit_woodwork,att_hd_goal,att_pen_goal,att_freekick_goal,att_ibox_goal,att_obox_goal,goal_fastbreak,total_offside,clean_sheet,goals_conceded,saves,outfielder_block,interception,total_tackle,last_man_tackle,total_clearance,head_clearance,own_goals,penalty_conceded,pen_goals_conceded,total_pass,total_through_ball,total_long_balls,backward_pass,total_cross,corner_taken,touches,big_chance_missed,clearance_off_line,dispossessed,penalty_save,total_high_claim,punches
Southampton,12.0,16.0,41.0,59.0,2.0,550.0,179.0,12.0,4.0,3.0,0.0,37.0,4.0,0.0,73.0,14.0,48.0,76.0,128.0,514.0,675.0,1.0,914.0,505.0,1.0,9.0,6.0,18245.0,57.0,2336.0,2784.0,947.0,198.0,25881.0,34.0,4.0,455.0,1.0,26.0,12.0
Swansea City,12.0,21.0,45.0,56.0,0.0,405.0,145.0,10.0,15.0,3.0,2.0,40.0,5.0,1.0,49.0,8.0,70.0,121.0,136.0,459.0,635.0,1.0,1037.0,539.0,5.0,9.0,6.0,16131.0,15.0,2579.0,2495.0,864.0,196.0,23728.0,25.0,2.0,446.0,1.0,72.0,16.0
West Bromwich Albion,12.0,17.0,43.0,80.0,0.0,399.0,123.0,11.0,16.0,1.0,1.0,37.0,6.0,3.0,59.0,6.0,51.0,116.0,150.0,537.0,605.0,0.0,999.0,577.0,1.0,3.0,3.0,11825.0,37.0,2653.0,1798.0,766.0,159.0,19042.0,24.0,3.0,445.0,0.0,53.0,10.0
West Ham United,12.0,17.0,47.0,78.0,5.0,499.0,138.0,14.0,14.0,3.0,3.0,41.0,6.0,3.0,74.0,10.0,64.0,117.0,112.0,614.0,574.0,4.0,1074.0,625.0,0.0,8.0,5.0,15127.0,37.0,2622.0,2312.0,752.0,172.0,22666.0,24.0,3.0,367.0,1.0,47.0,11.0
Burnley,11.0,20.0,39.0,65.0,2.0,392.0,120.0,5.0,4.0,6.0,3.0,31.0,8.0,2.0,101.0,10.0,55.0,151.0,221.0,537.0,638.0,2.0,1235.0,700.0,2.0,5.0,4.0,12559.0,21.0,3179.0,1891.0,650.0,149.0,19788.0,18.0,6.0,333.0,1.0,29.0,14.0
Stoke City,11.0,16.0,41.0,70.0,2.0,425.0,137.0,14.0,7.0,4.0,2.0,36.0,5.0,0.0,85.0,11.0,56.0,127.0,159.0,497.0,666.0,3.0,1009.0,505.0,5.0,3.0,1.0,14558.0,54.0,2507.0,2170.0,718.0,188.0,22087.0,41.0,5.0,415.0,1.0,40.0,23.0
Watford,11.0,20.0,40.0,84.0,5.0,422.0,143.0,7.0,9.0,3.0,0.0,36.0,4.0,0.0,61.0,7.0,68.0,121.0,140.0,512.0,618.0,0.0,1016.0,494.0,2.0,4.0,3.0,14049.0,22.0,2600.0,2200.0,686.0,164.0,21547.0,25.0,3.0,390.0,1.0,53.0,35.0
Hull City,9.0,22.0,37.0,67.0,5.0,397.0,126.0,10.0,5.0,3.0,2.0,33.0,4.0,3.0,71.0,5.0,80.0,137.0,185.0,566.0,632.0,3.0,1104.0,603.0,5.0,13.0,11.0,15606.0,41.0,2647.0,2489.0,736.0,179.0,22790.0,19.0,6.0,399.0,2.0,40.0,18.0
Sunderland,6.0,26.0,29.0,78.0,4.0,387.0,119.0,4.0,1.0,5.0,0.0,26.0,3.0,0.0,78.0,6.0,69.0,176.0,171.0,543.0,630.0,0.0,1170.0,616.0,2.0,4.0,4.0,12359.0,38.0,2592.0,1880.0,616.0,159.0,19639.0,19.0,5.0,388.0,0.0,57.0,24.0
Middlesbrough,5.0,20.0,27.0,77.0,1.0,351.0,100.0,6.0,8.0,2.0,0.0,26.0,1.0,3.0,51.0,11.0,53.0,117.0,149.0,549.0,727.0,4.0,1090.0,575.0,0.0,5.0,4.0,15736.0,37.0,2856.0,2448.0,722.0,141.0,23067.0,19.0,4.0,357.0,0.0,39.0,17.0
