,wins,losses,goals,total_yel_card,total_red_card,total_scoring_att,ontarget_scoring_att,hit_woodwork,att_hd_goal,att_pen_goal,att_freekick_goal,att_ibox_goal,att_obox_goal,goal_fastbreak,total_offside,clean_sheet,goals_conceded,saves,outfielder_block,interception,total_tackle,last_man_tackle,total_clearance,head_clearance,own_goals,penalty_conceded,pen_goals_conceded,total_pass,total_through_ball,total_long_balls,backward_pass,total_cross,corner_taken,touches,big_chance_missed,clearance_off_line,dispossessed,penalty_save,total_high_claim,punches
Chelsea,30.0,5.0,85.0,72.0,0.0,580.0,204.0,17.0,8.0,2.0,3.0,73.0,12.0,7.0,64.0,16.0,33.0,69.0,78.0,510.0,652.0,0.0,839.0,500.0,1.0,2.0,2.0,20125.0,103.0,2399.0,2967.0,688.0,218.0,27658.0,32.0,3.0,436.0,0.0,38.0,18.0
Tottenham Hotspur,26.0,4.0,86.0,62.0,0.0,669.0,257.0,22.0,10.0,7.0,0.0,74.0,12.0,3.0,74.0,17.0,26.0,85.0,99.0,314.0,661.0,1.0,1003.0,526.0,1.0,2.0,2.0,20150.0,45.0,2662.0,3130.0,761.0,273.0,28150.0,41.0,1.0,484.0,0.0,21.0,11.0
Arsenal,23.0,9.0,77.0,68.0,3.0,566.0,201.0,17.0,17.0,4.0,2.0,70.0,7.0,2.0,95.0,13.0,44.0,124.0,95.0,536.0,673.0,5.0,838.0,484.0,1.0,10.0,10.0,21394.0,129.0,1979.0,2835.0,697.0,227.0,28931.0,41.0,1.0,465.0,0.0,36.0,10.0
Manchester City,23.0,6.0,80.0,71.0,4.0,633.0,216.0,20.0,8.0,7.0,2.0,73.0,7.0,6.0,89.0,12.0,39.0,64.0,66.0,504.0,643.0,0.0,905.0,544.0,1.0,5.0,2.0,22706.0,124.0,1997.0,3534.0,801.0,280.0,30363.0,48.0,4.0,465.0,2.0,26.0,20.0
Liverpool,22.0,6.0,78.0,54.0,0.0,640.0,236.0,18.0,12.0,7.0,3.0,65.0,13.0,3.0,77.0,12.0,42.0,73.0,65.0,410.0,719.0,2.0,877.0,451.0,0.0,5.0,3.0,22290.0,57.0,2565.0,3291.0,812.0,249.0,30071.0,35.0,0.0,472.0,2.0,36.0,26.0
Manchester United,18.0,5.0,54.0,78.0,2.0,591.0,210.0,19.0,9.0,3.0,1.0,47.0,7.0,5.0,99.0,17.0,29.0,85.0,99.0,584.0,690.0,4.0,1112.0,580.0,1.0,5.0,4.0,20245.0,99.0,2424.0,3177.0,848.0,217.0,28119.0,50.0,1.0,389.0,1.0,32.0,4.0
Everton,17.0,11.0,62.0,72.0,2.0,502.0,191.0,12.0,13.0,3.0,2.0,59.0,3.0,2.0,82.0,13.0,44.0,96.0,149.0,461.0,712.0,6.0,1118.0,628.0,1.0,6.0,3.0,17586.0,38.0,2968.0,2744.0,767.0,196.0,25309.0,28.0,9.0,469.0,2.0,56.0,19.0
AFC Bournemouth,12.0,16.0,55.0,52.0,3.0,452.0,160.0,19.0,5.0,7.0,0.0,51.0,5.0,2.0,53.0,10.0,67.0,123.0,150.0,460.0,604.0,1.0,1092.0,616.0,5.0,5.0,2.0,17152.0,51.0,2461.0,2651.0,628.0,193.0,24801.0,31.0,4.0,439.0,2.0,36.0,21.0
Crystal Palace,12.0,21.0,50.0,77.0,0.0,439.0,138.0,8.0,13.0,4.0,0.0,48.0,2.0,0.0,55.0,7.0,63.0,108.0,125.0,553.0,699.0,4.0,1022.0,557.0,0.0,2.0,2.0,13542.0,20.0,2729.0,2108.0,872.0,203.0,21533.0,27.0,7.0,496.0,0.0,56.0,12.0
Leicester City,12.0,18.0,48.0,72.0,1.0,433.0,145.0,8.0,10.0,4.0,1.0,39.0,9.0,4.0,65.0,9.0,63.0,131.0,141.0,538.0,677.0,3.0,1025.0,567.0,2.0,4.0,4.0,13671.0,25.0,2792.0,1916.0,731.0,197.0,21051.0,29.0,2.0,310.0,0.0,45.0,16.0
