,home_team,away_team,home_goals,away_goals,result
0,Chelsea,Hull City,2.0,1.0,H
1,Aston Villa,Wigan Athletic,0.0,2.0,A
2,Blackburn Rovers,Manchester City,0.0,2.0,A
3,Bolton Wanderers,Sunderland,0.0,1.0,A
4,Portsmouth,Fulham,0.0,1.0,A
5,Stoke City,Burnley,2.0,0.0,H
6,Wolverhampton Wanderers,West Ham United,0.0,2.0,A
7,Everton,Arsenal,1.0,6.0,A
8,Manchester United,Birmingham City,1.0,0.0,H
9,Tottenham Hotspur,Liverpool,2.0,1.0,H
10,Sunderland,Chelsea,1.0,3.0,A
11,Wigan Athletic,Wolverhampton Wanderers,0.0,1.0,A
12,Birmingham City,Portsmouth,1.0,0.0,H
13,Burnley,Manchester United,1.0,0.0,H
14,Hull City,Tottenham Hotspur,1.0,5.0,A
15,Liverpool,Stoke City,4.0,0.0,H
16,Arsenal,Portsmouth,4.0,1.0,H
17,Birmingham City,Stoke City,0.0,0.0,D
18,Hull City,Bolton Wanderers,1.0,0.0,H
19,Manchester City,Wolverhampton Wanderers,1.0,0.0,H
20,Sunderland,Blackburn Rovers,2.0,1.0,H
21,Wigan Athletic,Manchester United,0.0,5.0,A
22,West Ham United,Tottenham Hotspur,1.0,2.0,A
23,Burnley,Everton,1.0,0.0,H
24,Fulham,Chelsea,0.0,2.0,A
25,Liverpool,Aston Villa,1.0,3.0,A
26,Chelsea,Burnley,3.0,0.0,H
27,Blackburn Rovers,West Ham United,0.0,0.0,D
28,Bolton Wanderers,Liverpool,2.0,3.0,A
29,Stoke City,Sunderland,1.0,0.0,H
30,Tottenham Hotspur,Birmingham City,2.0,1.0,H
31,Wolverhampton Wanderers,Hull City,1.0,1.0,D
32,Manchester United,Arsenal,2.0,1.0,H
33,Portsmouth,Manchester City,0.0,1.0,A
34,Everton,Wigan Athletic,2.0,1.0,H
35,Aston Villa,Fulham,2.0,0.0,H
36,Blackburn Rovers,Wolverhampton Wanderers,3.0,1.0,H
37,Liverpool,Burnley,4.0,0.0,H
38,Manchester City,Arsenal,4.0,2.0,H
39,Portsmouth,Bolton Wanderers,2.0,3.0,A
40,Stoke City,Chelsea,1.0,2.0,A
41,Sunderland,Hull City,4.0,1.0,H
42,Wigan Athletic,West Ham United,1.0,0.0,H
43,Tottenham Hotspur,Manchester United,1.0,3.0,A
