,home_team,away_team,home_goals,away_goals,result
0,Manchester United,Tottenham Hotspur,1.0,0.0,H
1,AFC Bournemouth,Aston Villa,0.0,1.0,A
2,Everton,Watford,2.0,2.0,D
3,Leicester City,Sunderland,4.0,2.0,H
4,Norwich City,Crystal Palace,1.0,3.0,A
5,Chelsea,Swansea City,2.0,2.0,D
6,Arsenal,West Ham United,0.0,2.0,A
7,Newcastle United,Southampton,2.0,2.0,D
8,Stoke City,Liverpool,0.0,1.0,A
9,West Bromwich Albion,Manchester City,0.0,3.0,A
10,Aston Villa,Manchester United,0.0,1.0,A
11,Southampton,Everton,0.0,3.0,A
12,Sunderland,Norwich City,1.0,3.0,A
13,Swansea City,Newcastle United,2.0,0.0,H
14,Tottenham Hotspur,Stoke City,2.0,2.0,D
15,Watford,West Bromwich Albion,0.0,0.0,D
16,West Ham United,Leicester City,1.0,2.0,A
17,Crystal Palace,Arsenal,1.0,2.0,A
18,Manchester City,Chelsea,3.0,0.0,H
19,Liverpool,AFC Bournemouth,1.0,0.0,H
20,Manchester United,Newcastle United,0.0,0.0,D
21,Crystal Palace,Aston Villa,2.0,1.0,H
22,Leicester City,Tottenham Hotspur,1.0,1.0,D
23,Norwich City,Stoke City,1.0,1.0,D
24,Sunderland,Swansea City,1.0,1.0,D
25,West Ham United,AFC Bournemouth,3.0,4.0,A
26,West Bromwich Albion,Chelsea,2.0,3.0,A
27,Everton,Manchester City,0.0,2.0,A
28,Watford,Southampton,0.0,0.0,D
29,Arsenal,Liverpool,0.0,0.0,D
30,Newcastle United,Arsenal,0.0,1.0,A
31,Aston Villa,Sunderland,2.0,2.0,D
32,AFC Bournemouth,Leicester City,1.0,1.0,D
33,Chelsea,Crystal Palace,1.0,2.0,A
34,Liverpool,West Ham United,0.0,3.0,A
35,Manchester City,Watford,2.0,0.0,H
36,Stoke City,West Bromwich Albion,0.0,1.0,A
37,Tottenham Hotspur,Everton,0.0,0.0,D
38,Southampton,Norwich City,3.0,0.0,H
39,Swansea City,Manchester United,2.0,1.0,H
40,Everton,Chelsea,3.0,1.0,H
41,Arsenal,Stoke City,2.0,0.0,H
42,Crystal Palace,Manchester City,0.0,1.0,A
43,Norwich City,AFC Bournemouth,3.0,1.0,H
44,Watford,Swansea City,1.0,0.0,H
