,home_team,away_team,home_goals,away_goals,result
0,Hull City,Leicester City,2.0,1.0,H
1,Burnley,Swansea City,0.0,1.0,A
2,Crystal Palace,West Bromwich Albion,0.0,1.0,A
3,Everton,Tottenham Hotspur,1.0,1.0,D
4,Middlesbrough,Stoke City,1.0,1.0,D
5,Southampton,Watford,1.0,1.0,D
6,Manchester City,Sunderland,2.0,1.0,H
7,AFC Bournemouth,Manchester United,1.0,3.0,A
8,Arsenal,Liverpool,3.0,4.0,A
9,Chelsea,West Ham United,2.0,1.0,H
10,Manchester United,Southampton,2.0,0.0,H
11,Stoke City,Manchester City,1.0,4.0,A
12,Burnley,Liverpool,2.0,0.0,H
13,Swansea City,Hull City,0.0,2.0,A
14,Tottenham Hotspur,Crystal Palace,1.0,0.0,H
15,Watford,Chelsea,1.0,2.0,A
16,West Bromwich Albion,Everton,1.0,2.0,A
17,Leicester City,Arsenal,0.0,0.0,D
18,Sunderland,Middlesbrough,1.0,2.0,A
19,West Ham United,AFC Bournemouth,1.0,0.0,H
20,Tottenham Hotspur,Liverpool,1.0,1.0,D
21,Chelsea,Burnley,3.0,0.0,H
22,Crystal Palace,AFC Bournemouth,1.0,1.0,D
23,Everton,Stoke City,1.0,0.0,H
24,Leicester City,Swansea City,2.0,1.0,H
25,Southampton,Sunderland,1.0,1.0,D
26,Watford,Arsenal,1.0,3.0,A
27,Hull City,Manchester United,0.0,1.0,A
28,West Bromwich Albion,Middlesbrough,0.0,0.0,D
29,Manchester City,West Ham United,3.0,1.0,H
30,Manchester United,Manchester City,1.0,2.0,A
31,Arsenal,Southampton,2.0,1.0,H
32,AFC Bournemouth,West Bromwich Albion,1.0,0.0,H
33,Burnley,Hull City,1.0,1.0,D
34,Middlesbrough,Crystal Palace,1.0,2.0,A
35,Stoke City,Tottenham Hotspur,0.0,4.0,A
36,West Ham United,Watford,2.0,4.0,A
37,Liverpool,Leicester City,4.0,1.0,H
38,Swansea City,Chelsea,2.0,2.0,D
39,Sunderland,Everton,0.0,3.0,A
40,Chelsea,Liverpool,1.0,2.0,A
41,Hull City,Arsenal,1.0,4.0,A
42,Leicester City,Burnley,3.0,0.0,H
43,Manchester City,AFC Bournemouth,4.0,0.0,H
44,West Bromwich Albion,West Ham United,4.0,2.0,H
45,Everton,Middlesbrough,3.0,1.0,H
46,Watford,Manchester United,3.0,1.0,H
47,Crystal Palace,Stoke City,4.0,1.0,H
48,Southampton,Swansea City,1.0,0.0,H
49,Tottenham Hotspur,Sunderland,1.0,0.0,H
50,Manchester United,Leicester City,4.0,1.0,H
51,AFC Bournemouth,Everton,1.0,0.0,H
52,Liverpool,Hull City,5.0,1.0,H
53,Middlesbrough,Tottenham Hotspur,1.0,2.0,A
54,Stoke City,West Bromwich Albion,1.0,1.0,D
55,Sunderland,Crystal Palace,2.0,3.0,A
56,Swansea City,Manchester City,1.0,3.0,A
57,Arsenal,Chelsea,3.0,0.0,H
58,West Ham United,Southampton,0.0,3.0,A
59,Burnley,Watford,2.0,0.0,H
60,Everton,Crystal Palace,1.0,1.0,D
61,Swansea City,Liverpool,1.0,2.0,A
62,Hull City,Chelsea,0.0,2.0,A
63,Sunderland,West Bromwich Albion,1.0,1.0,D
64,Watford,AFC Bournemouth,2.0,2.0,D
65,West Ham United,Middlesbrough,1.0,1.0,D
66,Manchester United,Stoke City,1.0,1.0,D
67,Leicester City,Southampton,0.0,0.0,D
68,Tottenham Hotspur,Manchester City,2.0,0.0,H
69,Burnley,Arsenal,0.0,1.0,A
70,Chelsea,Leicester City,3.0,0.0,H
71,Arsenal,Swansea City,3.0,2.0,H
72,AFC Bournemouth,Hull City,6.0,1.0,H
73,Manchester City,Everton,1.0,1.0,D
74,Stoke City,Sunderland,2.0,0.0,H
75,West Bromwich Albion,Tottenham Hotspur,1.0,1.0,D
76,Crystal Palace,West Ham United,0.0,1.0,A
77,Middlesbrough,Watford,0.0,1.0,A
78,Southampton,Burnley,3.0,1.0,H
79,Liverpool,Manchester United,0.0,0.0,D
80,AFC Bournemouth,Tottenham Hotspur,0.0,0.0,D
81,Arsenal,Middlesbrough,0.0,0.0,D
82,Burnley,Everton,2.0,1.0,H
83,Hull City,Stoke City,0.0,2.0,A
84,Leicester City,Crystal Palace,3.0,1.0,H
85,Swansea City,Watford,0.0,0.0,D
86,West Ham United,Sunderland,1.0,0.0,H
87,Liverpool,West Bromwich Albion,2.0,1.0,H
88,Manchester City,Southampton,1.0,1.0,D
89,Chelsea,Manchester United,4.0,0.0,H
90,Sunderland,Arsenal,1.0,4.0,A
91,Manchester United,Burnley,0.0,0.0,D
92,Middlesbrough,AFC Bournemouth,2.0,0.0,H
93,Tottenham Hotspur,Leicester City,1.0,1.0,D
94,Watford,Hull City,1.0,0.0,H
