,home_team,away_team,home_goals,away_goals,result
0,Arsenal,Leicester City,4.0,3.0,H
1,Watford,Liverpool,3.0,3.0,D
2,Chelsea,Burnley,2.0,3.0,A
3,Crystal Palace,Huddersfield Town,0.0,3.0,A
4,Everton,Stoke City,1.0,0.0,H
5,Southampton,Swansea City,0.0,0.0,D
6,West Bromwich Albion,AFC Bournemouth,1.0,0.0,H
7,Brighton and Hove Albion,Manchester City,0.0,2.0,A
8,Newcastle United,Tottenham Hotspur,0.0,2.0,A
9,Manchester United,West Ham United,4.0,0.0,H
10,Swansea City,Manchester United,0.0,4.0,A
11,AFC Bournemouth,Watford,0.0,2.0,A
12,Burnley,West Bromwich Albion,0.0,1.0,A
13,Leicester City,Brighton and Hove Albion,2.0,0.0,H
14,Liverpool,Crystal Palace,1.0,0.0,H
15,Southampton,West Ham United,3.0,2.0,H
16,Stoke City,Arsenal,1.0,0.0,H
17,Huddersfield Town,Newcastle United,1.0,0.0,H
18,Tottenham Hotspur,Chelsea,1.0,2.0,A
19,Manchester City,Everton,1.0,1.0,D
20,AFC Bournemouth,Manchester City,1.0,2.0,A
21,Crystal Palace,Swansea City,0.0,2.0,A
22,Huddersfield Town,Southampton,0.0,0.0,D
23,Newcastle United,West Ham United,3.0,0.0,H
24,Watford,Brighton and Hove Albion,0.0,0.0,D
25,Manchester United,Leicester City,2.0,0.0,H
26,Chelsea,Everton,2.0,0.0,H
27,West Bromwich Albion,Stoke City,1.0,1.0,D
28,Liverpool,Arsenal,4.0,0.0,H
29,Tottenham Hotspur,Burnley,1.0,1.0,D
30,Manchester City,Liverpool,5.0,0.0,H
31,Arsenal,AFC Bournemouth,3.0,0.0,H
32,Brighton and Hove Albion,West Bromwich Albion,3.0,1.0,H
33,Everton,Tottenham Hotspur,0.0,3.0,A
34,Leicester City,Chelsea,1.0,2.0,A
35,Southampton,Watford,0.0,2.0,A
36,Stoke City,Manchester United,2.0,2.0,D
37,Burnley,Crystal Palace,1.0,0.0,H
38,Swansea City,Newcastle United,0.0,1.0,A
39,West Ham United,Huddersfield Town,2.0,0.0,H
40,AFC Bournemouth,Brighton and Hove Albion,2.0,1.0,H
41,Crystal Palace,Southampton,0.0,1.0,A
42,Huddersfield Town,Leicester City,1.0,1.0,D
43,Liverpool,Burnley,1.0,1.0,D
44,Newcastle United,Stoke City,2.0,1.0,H
45,Watford,Manchester City,0.0,6.0,A
46,West Bromwich Albion,West Ham United,0.0,0.0,D
47,Tottenham Hotspur,Swansea City,0.0,0.0,D
48,Chelsea,Arsenal,0.0,0.0,D
49,Manchester United,Everton,4.0,0.0,H
50,West Ham United,Tottenham Hotspur,2.0,3.0,A
51,Burnley,Huddersfield Town,0.0,0.0,D
52,Everton,AFC Bournemouth,2.0,1.0,H
53,Manchester City,Crystal Palace,5.0,0.0,H
54,Southampton,Manchester United,0.0,1.0,A
55,Stoke City,Chelsea,0.0,4.0,A
56,Swansea City,Watford,1.0,2.0,A
57,Leicester City,Liverpool,2.0,3.0,A
58,Brighton and Hove Albion,Newcastle United,1.0,0.0,H
59,Arsenal,West Bromwich Albion,2.0,0.0,H
60,Huddersfield Town,Tottenham Hotspur,0.0,4.0,A
61,AFC Bournemouth,Leicester City,0.0,0.0,D
62,Manchester United,Crystal Palace,4.0,0.0,H
63,Stoke City,Southampton,2.0,1.0,H
