,home_team,away_team,home_goals,away_goals,result
0,Manchester United,Leicester City,2.0,1.0,H
1,Newcastle United,Tottenham Hotspur,1.0,2.0,A
2,AFC Bournemouth,Cardiff City,2.0,0.0,H
3,Fulham,Crystal Palace,0.0,2.0,A
4,Huddersfield Town,Chelsea,0.0,3.0,A
5,Watford,Brighton and Hove Albion,2.0,0.0,H
6,Wolverhampton Wanderers,Everton,2.0,2.0,D
7,Liverpool,West Ham United,4.0,0.0,H
8,Southampton,Burnley,0.0,0.0,D
9,Arsenal,Manchester City,0.0,2.0,A
10,Cardiff City,Newcastle United,0.0,0.0,D
11,Everton,Southampton,2.0,1.0,H
12,Leicester City,Wolverhampton Wanderers,2.0,0.0,H
13,Tottenham Hotspur,Fulham,3.0,1.0,H
14,West Ham United,AFC Bournemouth,1.0,2.0,A
15,Chelsea,Arsenal,3.0,2.0,H
16,Burnley,Watford,1.0,3.0,A
17,Manchester City,Huddersfield Town,6.0,1.0,H
18,Brighton and Hove Albion,Manchester United,3.0,2.0,H
19,Crystal Palace,Liverpool,0.0,2.0,A
20,Wolverhampton Wanderers,Manchester City,1.0,1.0,D
21,Arsenal,West Ham United,3.0,1.0,H
22,AFC Bournemouth,Everton,2.0,2.0,D
23,Huddersfield Town,Cardiff City,0.0,0.0,D
24,Southampton,Leicester City,1.0,2.0,A
25,Liverpool,Brighton and Hove Albion,1.0,0.0,H
26,Watford,Crystal Palace,2.0,1.0,H
27,Fulham,Burnley,4.0,2.0,H
28,Newcastle United,Chelsea,1.0,2.0,A
29,Manchester United,Tottenham Hotspur,0.0,3.0,A
30,Leicester City,Liverpool,1.0,2.0,A
31,Brighton and Hove Albion,Fulham,2.0,2.0,D
32,Chelsea,AFC Bournemouth,2.0,0.0,H
33,Crystal Palace,Southampton,0.0,2.0,A
34,Everton,Huddersfield Town,1.0,1.0,D
35,West Ham United,Wolverhampton Wanderers,0.0,1.0,A
36,Manchester City,Newcastle United,2.0,1.0,H
37,Cardiff City,Arsenal,2.0,3.0,A
38,Burnley,Manchester United,0.0,2.0,A
39,Watford,Tottenham Hotspur,2.0,1.0,H
40,Tottenham Hotspur,Liverpool,1.0,2.0,A
41,AFC Bournemouth,Leicester City,4.0,2.0,H
42,Chelsea,Cardiff City,4.0,1.0,H
43,Huddersfield Town,Crystal Palace,0.0,1.0,A
44,Manchester City,Fulham,3.0,0.0,H
45,Newcastle United,Arsenal,1.0,2.0,A
46,Watford,Manchester United,1.0,2.0,A
47,Wolverhampton Wanderers,Burnley,1.0,0.0,H
48,Everton,West Ham United,1.0,3.0,A
49,Southampton,Brighton and Hove Albion,2.0,2.0,D
50,Fulham,Watford,1.0,1.0,D
51,Burnley,AFC Bournemouth,4.0,0.0,H
52,Cardiff City,Manchester City,0.0,5.0,A
53,Crystal Palace,Newcastle United,0.0,0.0,D
54,Leicester City,Huddersfield Town,3.0,1.0,H
55,Liverpool,Southampton,3.0,0.0,H
56,Manchester United,Wolverhampton Wanderers,1.0,1.0,D
57,Brighton and Hove Albion,Tottenham Hotspur,1.0,2.0,A
58,West Ham United,Chelsea,0.0,0.0,D
59,Arsenal,Everton,2.0,0.0,H
60,West Ham United,Manchester United,3.0,1.0,H
61,Arsenal,Watford,2.0,0.0,H
62,Everton,Fulham,3.0,0.0,H
63,Huddersfield Town,Tottenham Hotspur,0.0,2.0,A
64,Manchester City,Brighton and Hove Albion,2.0,0.0,H
65,Newcastle United,Leicester City,0.0,2.0,A
66,Wolverhampton Wanderers,Southampton,2.0,0.0,H
67,Chelsea,Liverpool,1.0,1.0,D
68,Cardiff City,Burnley,1.0,2.0,A
69,AFC Bournemouth,Crystal Palace,2.0,1.0,H
70,Brighton and Hove Albion,West Ham United,1.0,0.0,H
