,home_team,away_team,home_goals,away_goals,result
0,Liverpool,Stoke City,1.0,0.0,H
1,Arsenal,Aston Villa,1.0,3.0,A
2,Norwich City,Everton,2.0,2.0,D
3,Sunderland,Fulham,0.0,1.0,A
4,West Bromwich Albion,Southampton,0.0,1.0,A
5,West Ham United,Cardiff City,2.0,0.0,H
6,Swansea City,Manchester United,1.0,4.0,A
7,Crystal Palace,Tottenham Hotspur,0.0,1.0,A
8,Chelsea,Hull City,2.0,0.0,H
9,Manchester City,Newcastle United,4.0,0.0,H
10,Chelsea,Aston Villa,2.0,1.0,H
11,Fulham,Arsenal,1.0,3.0,A
12,Everton,West Bromwich Albion,0.0,0.0,D
13,Hull City,Norwich City,1.0,0.0,H
14,Newcastle United,West Ham United,0.0,0.0,D
15,Southampton,Sunderland,1.0,1.0,D
16,Stoke City,Crystal Palace,2.0,1.0,H
17,Aston Villa,Liverpool,0.0,1.0,A
18,Cardiff City,Manchester City,3.0,2.0,H
19,Tottenham Hotspur,Swansea City,1.0,0.0,H
20,Manchester United,Chelsea,0.0,0.0,D
21,Manchester City,Hull City,2.0,0.0,H
22,Cardiff City,Everton,0.0,0.0,D
23,Newcastle United,Fulham,1.0,0.0,H
24,Norwich City,Southampton,1.0,0.0,H
25,West Ham United,Stoke City,0.0,1.0,A
26,Crystal Palace,Sunderland,3.0,1.0,H
27,Liverpool,Manchester United,1.0,0.0,H
28,West Bromwich Albion,Swansea City,0.0,2.0,A
29,Arsenal,Tottenham Hotspur,1.0,0.0,H
30,Manchester United,Crystal Palace,2.0,0.0,H
31,Aston Villa,Newcastle United,1.0,2.0,A
32,Fulham,West Bromwich Albion,1.0,1.0,D
33,Hull City,Cardiff City,1.0,1.0,D
34,Stoke City,Manchester City,0.0,0.0,D
35,Sunderland,Arsenal,1.0,3.0,A
36,Tottenham Hotspur,Norwich City,2.0,0.0,H
37,Everton,Chelsea,1.0,0.0,H
38,Southampton,West Ham United,0.0,0.0,D
39,Swansea City,Liverpool,2.0,2.0,D
40,Norwich City,Aston Villa,0.0,1.0,A
41,Liverpool,Southampton,0.0,1.0,A
42,Newcastle United,Hull City,2.0,3.0,A
43,West Bromwich Albion,Sunderland,3.0,0.0,H
