,home_team,away_team,home_goals,away_goals,result
0,Sheffield United,Liverpool,1.0,1.0,D
1,Arsenal,Aston Villa,1.0,1.0,D
2,Everton,Watford,2.0,1.0,H
3,Newcastle United,Wigan Athletic,2.0,1.0,H
4,Portsmouth,Blackburn Rovers,3.0,0.0,H
5,Reading,Middlesbrough,3.0,2.0,H
6,West Ham United,Charlton Athletic,3.0,1.0,H
7,Bolton Wanderers,Tottenham Hotspur,2.0,0.0,H
8,Manchester United,Fulham,5.0,1.0,H
9,Chelsea,Manchester City,3.0,0.0,H
10,Watford,West Ham United,1.0,1.0,D
11,Tottenham Hotspur,Sheffield United,2.0,0.0,H
12,Aston Villa,Reading,2.0,1.0,H
13,Manchester City,Portsmouth,0.0,0.0,D
14,Blackburn Rovers,Everton,1.0,1.0,D
15,Charlton Athletic,Manchester United,0.0,3.0,A
16,Fulham,Bolton Wanderers,1.0,1.0,D
17,Middlesbrough,Chelsea,2.0,1.0,H
18,Liverpool,West Ham United,2.0,1.0,H
19,Charlton Athletic,Bolton Wanderers,2.0,0.0,H
20,Fulham,Sheffield United,1.0,0.0,H
21,Tottenham Hotspur,Everton,0.0,2.0,A
22,Watford,Manchester United,1.0,2.0,A
23,Wigan Athletic,Reading,1.0,0.0,H
24,Manchester City,Arsenal,1.0,0.0,H
25,Aston Villa,Newcastle United,2.0,0.0,H
26,Blackburn Rovers,Chelsea,0.0,2.0,A
27,Middlesbrough,Portsmouth,0.0,4.0,A
28,Everton,Liverpool,3.0,0.0,H
29,Arsenal,Middlesbrough,1.0,1.0,D
30,Bolton Wanderers,Watford,1.0,0.0,H
31,Chelsea,Charlton Athletic,2.0,1.0,H
32,Newcastle United,Fulham,1.0,2.0,A
33,Portsmouth,Wigan Athletic,1.0,0.0,H
34,Sheffield United,Blackburn Rovers,0.0,0.0,D
35,Manchester United,Tottenham Hotspur,1.0,0.0,H
36,West Ham United,Aston Villa,1.0,1.0,D
37,Reading,Manchester City,1.0,0.0,H
38,Charlton Athletic,Portsmouth,0.0,1.0,A
39,Bolton Wanderers,Middlesbrough,0.0,0.0,D
40,Everton,Wigan Athletic,2.0,2.0,D
41,Sheffield United,Reading,1.0,2.0,A
42,Watford,Aston Villa,0.0,0.0,D
43,Chelsea,Liverpool,1.0,0.0,H
44,Blackburn Rovers,Manchester City,4.0,2.0,H
45,Tottenham Hotspur,Fulham,0.0,0.0,D
46,West Ham United,Newcastle United,0.0,2.0,A
47,Manchester United,Arsenal,0.0,1.0,A
48,Liverpool,Newcastle United,2.0,0.0,H
49,Liverpool,Tottenham Hotspur,3.0,0.0,H
50,Arsenal,Sheffield United,3.0,0.0,H
51,Aston Villa,Charlton Athletic,2.0,0.0,H
52,Fulham,Chelsea,0.0,2.0,A
53,Manchester City,West Ham United,2.0,0.0,H
