,home_team,away_team,home_goals,away_goals,result
0,Blackburn Rovers,Wolverhampton Wanderers,1.0,2.0,A
1,Fulham,Aston Villa,0.0,0.0,D
2,Liverpool,Sunderland,1.0,1.0,D
3,Queens Park Rangers,Bolton Wanderers,0.0,4.0,A
4,Wigan Athletic,Norwich City,1.0,1.0,D
5,Newcastle United,Arsenal,0.0,0.0,D
6,Stoke City,Chelsea,0.0,0.0,D
7,West Bromwich Albion,Manchester United,1.0,2.0,A
8,Manchester City,Swansea City,4.0,0.0,H
9,Sunderland,Newcastle United,0.0,1.0,A
10,Arsenal,Liverpool,0.0,2.0,A
11,Aston Villa,Blackburn Rovers,3.0,1.0,H
12,Everton,Queens Park Rangers,0.0,1.0,A
13,Swansea City,Wigan Athletic,0.0,0.0,D
14,Chelsea,West Bromwich Albion,2.0,1.0,H
15,Norwich City,Stoke City,1.0,1.0,D
16,Wolverhampton Wanderers,Fulham,2.0,0.0,H
17,Bolton Wanderers,Manchester City,2.0,3.0,A
18,Manchester United,Tottenham Hotspur,3.0,0.0,H
19,Aston Villa,Wolverhampton Wanderers,0.0,0.0,D
20,Wigan Athletic,Queens Park Rangers,2.0,0.0,H
21,Blackburn Rovers,Everton,0.0,1.0,A
22,Chelsea,Norwich City,3.0,1.0,H
23,Swansea City,Sunderland,0.0,0.0,D
24,Liverpool,Bolton Wanderers,3.0,1.0,H
25,Newcastle United,Fulham,2.0,1.0,H
26,Tottenham Hotspur,Manchester City,1.0,5.0,A
27,West Bromwich Albion,Stoke City,0.0,1.0,A
28,Manchester United,Arsenal,8.0,2.0,H
29,Arsenal,Swansea City,1.0,0.0,H
30,Everton,Aston Villa,2.0,2.0,D
31,Manchester City,Wigan Athletic,3.0,0.0,H
32,Stoke City,Liverpool,1.0,0.0,H
33,Sunderland,Chelsea,1.0,2.0,A
34,Wolverhampton Wanderers,Tottenham Hotspur,0.0,2.0,A
35,Bolton Wanderers,Manchester United,0.0,5.0,A
36,Norwich City,West Bromwich Albion,0.0,1.0,A
37,Fulham,Blackburn Rovers,1.0,1.0,D
38,Queens Park Rangers,Newcastle United,0.0,0.0,D
39,Blackburn Rovers,Arsenal,4.0,3.0,H
40,Aston Villa,Newcastle United,1.0,1.0,D
41,Bolton Wanderers,Norwich City,1.0,2.0,A
42,Everton,Wigan Athletic,3.0,1.0,H
43,Swansea City,West Bromwich Albion,3.0,0.0,H
44,Wolverhampton Wanderers,Queens Park Rangers,0.0,3.0,A
45,Tottenham Hotspur,Liverpool,4.0,0.0,H
46,Fulham,Manchester City,2.0,2.0,D
47,Sunderland,Stoke City,4.0,0.0,H
48,Manchester United,Chelsea,3.0,1.0,H
49,Manchester City,Everton,2.0,0.0,H
50,Arsenal,Bolton Wanderers,3.0,0.0,H
51,Chelsea,Swansea City,4.0,1.0,H
52,Liverpool,Wolverhampton Wanderers,2.0,1.0,H
53,Newcastle United,Blackburn Rovers,3.0,1.0,H
54,West Bromwich Albion,Fulham,0.0,0.0,D
55,Wigan Athletic,Tottenham Hotspur,1.0,2.0,A
56,Stoke City,Manchester United,1.0,1.0,D
57,Queens Park Rangers,Aston Villa,1.0,1.0,D
58,Norwich City,Sunderland,2.0,1.0,H
59,Everton,Liverpool,0.0,2.0,A
60,Aston Villa,Wigan Athletic,2.0,0.0,H
61,Blackburn Rovers,Manchester City,0.0,4.0,A
62,Manchester United,Norwich City,2.0,0.0,H
63,Sunderland,West Bromwich Albion,2.0,2.0,D
64,Wolverhampton Wanderers,Newcastle United,1.0,2.0,A
65,Bolton Wanderers,Chelsea,1.0,5.0,A
66,Fulham,Queens Park Rangers,6.0,0.0,H
67,Swansea City,Stoke City,2.0,0.0,H
68,Tottenham Hotspur,Arsenal,2.0,1.0,H
69,Liverpool,Manchester United,1.0,1.0,D
70,Manchester City,Aston Villa,4.0,1.0,H
71,Norwich City,Swansea City,3.0,1.0,H
72,Queens Park Rangers,Blackburn Rovers,1.0,1.0,D
73,Stoke City,Fulham,2.0,0.0,H
74,Wigan Athletic,Bolton Wanderers,1.0,3.0,A
75,Chelsea,Everton,3.0,1.0,H
76,West Bromwich Albion,Wolverhampton Wanderers,2.0,0.0,H
77,Arsenal,Sunderland,2.0,1.0,H
78,Newcastle United,Tottenham Hotspur,2.0,2.0,D
79,Wolverhampton Wanderers,Swansea City,2.0,2.0,D
80,Aston Villa,West Bromwich Albion,1.0,2.0,A
81,Bolton Wanderers,Sunderland,0.0,2.0,A
82,Newcastle United,Wigan Athletic,1.0,0.0,H
83,Liverpool,Norwich City,1.0,1.0,D
84,Arsenal,Stoke City,3.0,1.0,H
85,Fulham,Everton,1.0,3.0,A
86,Manchester United,Manchester City,1.0,6.0,A
87,Blackburn Rovers,Tottenham Hotspur,1.0,2.0,A
88,Queens Park Rangers,Chelsea,1.0,0.0,H
89,Everton,Manchester United,0.0,1.0,A
90,Chelsea,Arsenal,3.0,5.0,A
91,Manchester City,Wolverhampton Wanderers,3.0,1.0,H
92,Norwich City,Blackburn Rovers,3.0,3.0,D
93,Sunderland,Aston Villa,2.0,2.0,D
94,Swansea City,Bolton Wanderers,3.0,1.0,H
95,Wigan Athletic,Fulham,0.0,2.0,A
96,West Bromwich Albion,Liverpool,0.0,2.0,A
97,Tottenham Hotspur,Queens Park Rangers,3.0,1.0,H
98,Stoke City,Newcastle United,1.0,3.0,A
99,Newcastle United,Everton,2.0,1.0,H
100,Arsenal,West Bromwich Albion,3.0,0.0,H
101,Aston Villa,Norwich City,3.0,2.0,H
102,Blackburn Rovers,Chelsea,0.0,1.0,A
103,Liverpool,Swansea City,0.0,0.0,D
104,Manchester United,Sunderland,1.0,0.0,H
105,Queens Park Rangers,Manchester City,2.0,3.0,A
106,Wolverhampton Wanderers,Wigan Athletic,3.0,1.0,H
107,Bolton Wanderers,Stoke City,5.0,0.0,H
108,Fulham,Tottenham Hotspur,1.0,3.0,A
109,Norwich City,Arsenal,1.0,2.0,A
110,Everton,Wolverhampton Wanderers,2.0,1.0,H
111,Manchester City,Newcastle United,3.0,1.0,H
112,Stoke City,Queens Park Rangers,2.0,3.0,A
113,Sunderland,Fulham,0.0,0.0,D
114,West Bromwich Albion,Bolton Wanderers,2.0,1.0,H
115,Wigan Athletic,Blackburn Rovers,3.0,3.0,D
116,Swansea City,Manchester United,0.0,1.0,A
117,Chelsea,Liverpool,1.0,2.0,A
118,Tottenham Hotspur,Aston Villa,2.0,0.0,H
119,Stoke City,Blackburn Rovers,3.0,1.0,H
120,Bolton Wanderers,Everton,0.0,2.0,A
121,Chelsea,Wolverhampton Wanderers,3.0,0.0,H
122,Manchester United,Newcastle United,1.0,1.0,D
123,Norwich City,Queens Park Rangers,2.0,1.0,H
124,Sunderland,Wigan Athletic,1.0,2.0,A
125,West Bromwich Albion,Tottenham Hotspur,1.0,3.0,A
126,Arsenal,Fulham,1.0,1.0,D
127,Swansea City,Aston Villa,0.0,0.0,D
128,Liverpool,Manchester City,1.0,1.0,D
129,Newcastle United,Chelsea,0.0,3.0,A
130,Blackburn Rovers,Swansea City,4.0,2.0,H
131,Manchester City,Norwich City,5.0,1.0,H
132,Queens Park Rangers,West Bromwich Albion,1.0,1.0,D
133,Tottenham Hotspur,Bolton Wanderers,3.0,0.0,H
134,Wigan Athletic,Arsenal,0.0,4.0,A
135,Aston Villa,Manchester United,0.0,1.0,A
136,Everton,Stoke City,0.0,1.0,A
137,Wolverhampton Wanderers,Sunderland,2.0,1.0,H
138,Fulham,Liverpool,1.0,0.0,H
139,Arsenal,Everton,1.0,0.0,H
140,Bolton Wanderers,Aston Villa,1.0,2.0,A
141,Liverpool,Queens Park Rangers,1.0,0.0,H
142,Manchester United,Wolverhampton Wanderers,4.0,1.0,H
143,Norwich City,Newcastle United,4.0,2.0,H
144,Swansea City,Fulham,2.0,0.0,H
145,West Bromwich Albion,Wigan Athletic,1.0,2.0,A
146,Sunderland,Blackburn Rovers,2.0,1.0,H
147,Stoke City,Tottenham Hotspur,2.0,1.0,H
148,Chelsea,Manchester City,2.0,1.0,H
149,Blackburn Rovers,West Bromwich Albion,1.0,2.0,A
150,Everton,Norwich City,1.0,1.0,D
151,Fulham,Bolton Wanderers,2.0,0.0,H
152,Newcastle United,Swansea City,0.0,0.0,D
