,home_team,away_team,home_goals,away_goals,result
0,Arsenal,West Bromwich Albion,1.0,0.0,H
1,Bolton Wanderers,Stoke City,3.0,1.0,H
2,Everton,Blackburn Rovers,2.0,3.0,A
3,Hull City,Fulham,2.0,1.0,H
4,Middlesbrough,Tottenham Hotspur,2.0,1.0,H
5,West Ham United,Wigan Athletic,2.0,1.0,H
6,Sunderland,Liverpool,0.0,1.0,A
7,Chelsea,Portsmouth,4.0,0.0,H
8,Aston Villa,Manchester City,4.0,2.0,H
9,Manchester United,Newcastle United,1.0,1.0,D
10,Blackburn Rovers,Hull City,1.0,1.0,D
11,Liverpool,Middlesbrough,2.0,1.0,H
12,Newcastle United,Bolton Wanderers,1.0,0.0,H
13,Stoke City,Aston Villa,3.0,2.0,H
14,Tottenham Hotspur,Sunderland,1.0,2.0,A
15,West Bromwich Albion,Everton,1.0,2.0,A
16,Fulham,Arsenal,1.0,0.0,H
17,Wigan Athletic,Chelsea,0.0,1.0,A
18,Manchester City,West Ham United,3.0,0.0,H
19,Portsmouth,Manchester United,0.0,1.0,A
20,Bolton Wanderers,West Bromwich Albion,0.0,0.0,D
21,Everton,Portsmouth,0.0,3.0,A
22,Hull City,Wigan Athletic,0.0,5.0,A
23,Middlesbrough,Stoke City,2.0,1.0,H
24,West Ham United,Blackburn Rovers,4.0,1.0,H
25,Arsenal,Newcastle United,3.0,0.0,H
26,Chelsea,Tottenham Hotspur,1.0,1.0,D
27,Sunderland,Manchester City,0.0,3.0,A
28,Aston Villa,Liverpool,0.0,0.0,D
29,Liverpool,Manchester United,2.0,1.0,H
30,Blackburn Rovers,Arsenal,0.0,4.0,A
31,Fulham,Bolton Wanderers,2.0,1.0,H
32,Newcastle United,Hull City,1.0,2.0,A
33,Portsmouth,Middlesbrough,2.0,1.0,H
34,West Bromwich Albion,West Ham United,3.0,2.0,H
35,Wigan Athletic,Sunderland,1.0,1.0,D
36,Manchester City,Chelsea,1.0,3.0,A
37,Stoke City,Everton,2.0,3.0,A
38,Tottenham Hotspur,Aston Villa,1.0,2.0,A
39,Sunderland,Middlesbrough,2.0,0.0,H
