,home_team,away_team,home_goals,away_goals,result
0,Arsenal,Sunderland,0.0,0.0,D
1,Fulham,Norwich City,5.0,0.0,H
2,Queens Park Rangers,Swansea City,0.0,5.0,A
3,Reading,Stoke City,1.0,1.0,D
4,West Bromwich Albion,Liverpool,3.0,0.0,H
5,West Ham United,Aston Villa,1.0,0.0,H
6,Newcastle United,Tottenham Hotspur,2.0,1.0,H
7,Wigan Athletic,Chelsea,0.0,2.0,A
8,Manchester City,Southampton,3.0,2.0,H
9,Everton,Manchester United,1.0,0.0,H
10,Chelsea,Reading,4.0,2.0,H
11,Swansea City,West Ham United,3.0,0.0,H
12,Aston Villa,Everton,1.0,3.0,A
13,Manchester United,Fulham,3.0,2.0,H
14,Norwich City,Queens Park Rangers,1.0,1.0,D
15,Southampton,Wigan Athletic,0.0,2.0,A
16,Tottenham Hotspur,West Bromwich Albion,1.0,1.0,D
17,Chelsea,Newcastle United,2.0,0.0,H
18,Stoke City,Arsenal,0.0,0.0,D
19,Liverpool,Manchester City,2.0,2.0,D
20,West Ham United,Fulham,3.0,0.0,H
21,Swansea City,Sunderland,2.0,2.0,D
22,Tottenham Hotspur,Norwich City,1.0,1.0,D
23,West Bromwich Albion,Everton,2.0,0.0,H
24,Wigan Athletic,Stoke City,2.0,2.0,D
25,Manchester City,Queens Park Rangers,3.0,1.0,H
26,Liverpool,Arsenal,0.0,2.0,A
27,Newcastle United,Aston Villa,1.0,1.0,D
28,Southampton,Manchester United,2.0,3.0,A
29,Norwich City,West Ham United,0.0,0.0,D
30,Arsenal,Southampton,6.0,1.0,H
31,Aston Villa,Swansea City,2.0,0.0,H
32,Fulham,West Bromwich Albion,3.0,0.0,H
33,Manchester United,Wigan Athletic,4.0,0.0,H
34,Queens Park Rangers,Chelsea,0.0,0.0,D
35,Stoke City,Manchester City,1.0,1.0,D
36,Sunderland,Liverpool,1.0,1.0,D
37,Reading,Tottenham Hotspur,1.0,3.0,A
38,Everton,Newcastle United,2.0,2.0,D
39,Swansea City,Everton,0.0,3.0,A
40,Chelsea,Stoke City,1.0,0.0,H
41,Southampton,Aston Villa,4.0,1.0,H
42,West Bromwich Albion,Reading,1.0,0.0,H
43,West Ham United,Sunderland,1.0,1.0,D
44,Wigan Athletic,Fulham,1.0,2.0,A
45,Liverpool,Manchester United,1.0,2.0,A
46,Newcastle United,Norwich City,1.0,0.0,H
47,Manchester City,Arsenal,1.0,1.0,D
48,Tottenham Hotspur,Queens Park Rangers,2.0,1.0,H
49,Arsenal,Chelsea,1.0,2.0,A
50,Everton,Southampton,3.0,1.0,H
51,Fulham,Manchester City,1.0,2.0,A
52,Norwich City,Liverpool,2.0,5.0,A
53,Reading,Newcastle United,2.0,2.0,D
54,Stoke City,Swansea City,2.0,0.0,H
55,Sunderland,Wigan Athletic,1.0,0.0,H
56,Manchester United,Tottenham Hotspur,2.0,3.0,A
57,Aston Villa,West Bromwich Albion,1.0,1.0,D
58,Queens Park Rangers,West Ham United,1.0,2.0,A
59,Manchester City,Sunderland,3.0,0.0,H
60,Chelsea,Norwich City,4.0,1.0,H
61,Swansea City,Reading,2.0,2.0,D
62,West Bromwich Albion,Queens Park Rangers,3.0,2.0,H
